Invoice,Category,SKU,Customer,Frequency,Quantity,Transact,RecencyED,RecencySD,Month
2024-11-04,Category B,SKU-001,Customer 001,3,20,4735,0 days,354 days,November
2024-04-15,Category B,SKU-002,Customer 002,293,20,788,4 days,350 days,April
2024-04-15,Category B,SKU-003,Customer 002,16,20,853,4 days,350 days,April
2024-04-15,Category B,SKU-004,Customer 002,6,20,324,4 days,350 days,April
2024-04-15,Category B,SKU-005,Customer 003,12,20,725,4 days,350 days,April
2024-04-15,Category B,SKU-006,Customer 003,10,20,1115,4 days,350 days,April
2024-04-15,Category B,SKU-007,Customer 003,12,20,1601,4 days,350 days,April
2024-04-15,Category B,SKU-008,Customer 003,8,20,1895,4 days,350 days,April
2024-04-15,Category B,SKU-009,Customer 003,13,20,2449,4 days,350 days,April
2024-04-16,Category B,SKU-010,Customer 002,2,20,767,5 days,349 days,April
2024-04-16,Category B,SKU-011,Customer 002,3,20,778,5 days,349 days,April
2024-04-16,Category B,SKU-012,Customer 003,123,20,4077,5 days,349 days,April
2024-04-16,Category B,SKU-013,Customer 004,88,20,1737,5 days,349 days,April
2024-04-16,Category B,SKU-014,Customer 005,186,20,739,5 days,349 days,April
2024-04-16,Category B,SKU-015,Customer 005,177,20,937,5 days,349 days,April
2024-04-16,Category B,SKU-016,Customer 006,80,20,2786,5 days,349 days,April
2024-04-16,Category B,SKU-017,Customer 007,6,20,1431,5 days,349 days,April
2024-04-18,Category B,SKU-018,Customer 008,3,20,313,7 days,347 days,April
2024-04-18,Category B,SKU-019,Customer 008,6,20,300,7 days,347 days,April
2024-04-18,Category B,SKU-020,Customer 008,28,20,1933,7 days,347 days,April
2024-04-18,Category B,SKU-021,Customer 008,195,20,1088,7 days,347 days,April
2024-04-18,Category B,SKU-022,Customer 009,261,20,2886,7 days,347 days,April
2024-04-18,Category B,SKU-023,Customer 008,1,20,5575,7 days,347 days,April
2024-04-18,Category B,SKU-024,Customer 008,1,20,5937,7 days,347 days,April
2024-04-18,Category B,SKU-025,Customer 010,4,20,3198,7 days,347 days,April
2024-04-18,Category B,SKU-026,Customer 011,4,20,1815,7 days,347 days,April
2024-04-18,Category B,SKU-027,Customer 011,133,20,3888,7 days,347 days,April
2024-04-18,Category B,SKU-028,Customer 011,5,20,2304,7 days,347 days,April
2024-04-19,Category B,SKU-029,Customer 012,210,20,2331,8 days,346 days,April
2024-04-19,Category B,SKU-030,Customer 010,4,20,3198,8 days,346 days,April
2024-04-20,Category B,SKU-031,Customer 013,246,20,759,9 days,345 days,April
2024-04-20,Category B,SKU-032,Customer 013,360,20,1259,9 days,345 days,April
2024-04-20,Category B,SKU-033,Customer 013,253,20,1642,9 days,345 days,April
2024-04-20,Category B,SKU-034,Customer 013,2,20,2786,9 days,345 days,April
2024-04-20,Category B,SKU-035,Customer 013,3,20,2786,9 days,345 days,April
2024-04-22,Category B,SKU-036,Customer 004,18,20,1949,11 days,343 days,April
2024-04-22,Category B,SKU-037,Customer 014,86,20,1339,11 days,343 days,April
2024-04-22,Category B,SKU-038,Customer 015,5,20,1181,11 days,343 days,April
2024-04-22,Category B,SKU-039,Customer 014,175,20,2340,11 days,343 days,April
2024-04-22,Category B,SKU-040,Customer 015,97,20,1411,11 days,343 days,April
2024-04-22,Category B,SKU-041,Customer 015,179,20,2945,11 days,343 days,April
2024-04-22,Category B,SKU-042,Customer 015,133,20,3888,11 days,343 days,April
2024-04-22,Category B,SKU-043,Customer 015,7,20,1073,11 days,343 days,April
2024-04-22,Category B,SKU-044,Customer 015,7,20,1490,11 days,343 days,April
2024-04-22,Category B,SKU-045,Customer 015,6,20,1915,11 days,343 days,April
2024-04-22,Category B,SKU-046,Customer 015,10,20,2189,11 days,343 days,April
2024-04-22,Category B,SKU-047,Customer 015,12,20,2750,11 days,343 days,April
2024-04-22,Category B,SKU-048,Customer 015,12,20,4349,11 days,343 days,April
2024-04-22,Category B,SKU-049,Customer 015,9,20,3686,11 days,343 days,April
2024-04-23,Category B,SKU-050,Customer 016,216,20,1081,12 days,342 days,April
2024-04-25,Category B,SKU-051,Customer 017,165,20,1710,14 days,340 days,April
2024-04-26,Category B,SKU-052,Customer 003,162,20,2380,15 days,339 days,April
2024-04-26,Category B,SKU-053,Customer 003,95,20,2380,15 days,339 days,April
2024-04-26,Category B,SKU-054,Customer 003,139,20,2380,15 days,339 days,April
2024-04-26,Category B,SKU-055,Customer 018,42,20,814,15 days,339 days,April
2024-04-26,Category B,SKU-056,Customer 018,32,20,1231,15 days,339 days,April
2024-04-26,Category B,SKU-057,Customer 018,48,20,1026,15 days,339 days,April
2024-04-26,Category B,SKU-058,Customer 018,35,20,1389,15 days,339 days,April
2024-04-26,Category B,SKU-059,Customer 018,58,20,1252,15 days,339 days,April
2024-04-26,Category B,SKU-060,Customer 018,42,20,2107,15 days,339 days,April
2024-04-26,Category B,SKU-061,Customer 019,140,20,677,15 days,339 days,April
2024-04-26,Category B,SKU-062,Customer 020,210,20,2428,15 days,339 days,April
2024-04-29,Category B,SKU-063,Customer 005,156,20,2830,18 days,336 days,April
2024-04-29,Category B,SKU-064,Customer 021,6,20,1134,18 days,336 days,April
2024-04-29,Category B,SKU-065,Customer 016,15,20,3372,18 days,336 days,April
2024-04-29,Category B,SKU-066,Customer 004,7,20,2148,18 days,336 days,April
2024-04-29,Category B,SKU-067,Customer 008,31,20,3769,18 days,336 days,April
2024-04-29,Category B,SKU-068,Customer 005,26,20,2376,18 days,336 days,April
2024-04-29,Category B,SKU-069,Customer 022,2,20,1947,18 days,336 days,April
2024-04-29,Category B,SKU-070,Customer 023,42,20,4693,18 days,336 days,April
2024-04-29,Category B,SKU-071,Customer 015,9,20,900,18 days,336 days,April
2024-04-30,Category B,SKU-072,Customer 024,11,20,1156,19 days,335 days,April
2024-04-30,Category B,SKU-073,Customer 025,95,20,4596,19 days,335 days,April
2024-04-30,Category B,SKU-074,Customer 026,228,20,2380,19 days,335 days,April
2024-04-30,Category B,SKU-075,Customer 027,228,20,2381,19 days,335 days,April
2024-04-30,Category B,SKU-076,Customer 027,162,20,2381,19 days,335 days,April
2024-04-30,Category B,SKU-077,Customer 026,104,20,2380,19 days,335 days,April
2024-04-30,Category B,SKU-078,Customer 024,7,20,739,19 days,335 days,April
2024-04-30,Category B,SKU-079,Customer 024,186,20,739,19 days,335 days,April
2024-04-30,Category B,SKU-080,Customer 024,177,20,937,19 days,335 days,April
2024-04-30,Category B,SKU-081,Customer 024,151,20,1135,19 days,335 days,April
2024-04-30,Category B,SKU-082,Customer 024,282,20,1546,19 days,335 days,April
2024-04-30,Category B,SKU-083,Customer 023,45,20,1747,19 days,335 days,April
2024-04-30,Category B,SKU-084,Customer 024,259,20,2462,19 days,335 days,April
2024-04-30,Category B,SKU-085,Customer 023,165,20,1642,19 days,335 days,April
2024-04-30,Category B,SKU-086,Customer 028,28,20,4286,19 days,335 days,April
2024-04-30,Category B,SKU-087,Customer 029,179,20,2827,19 days,335 days,April
2024-04-30,Category B,SKU-088,Customer 030,220,20,1687,19 days,335 days,April
2024-04-30,Category B,SKU-089,Customer 029,93,20,4714,19 days,335 days,April
2024-04-30,Category B,SKU-090,Customer 029,133,20,3732,19 days,335 days,April
2024-04-05,Category B,SKU-091,Customer 019,36,20,5393,23 days,331 days,April
2024-04-05,Category B,SKU-092,Customer 019,5,20,2945,23 days,331 days,April
2024-04-05,Category B,SKU-093,Customer 019,6,20,4529,23 days,331 days,April
2024-06-05,Category B,SKU-094,Customer 031,156,20,2829,25 days,329 days,June
2024-06-05,Category B,SKU-095,Customer 032,95,20,4596,25 days,329 days,June
2024-06-05,Category B,SKU-096,Customer 021,189,20,533,25 days,329 days,June
2024-06-05,Category B,SKU-097,Customer 031,82,20,3809,25 days,329 days,June
2024-07-05,Category B,SKU-098,Customer 033,11,20,1110,26 days,328 days,July
2024-07-05,Category B,SKU-099,Customer 030,78,20,1244,26 days,328 days,July
2024-07-05,Category B,SKU-100,Customer 030,90,20,2862,26 days,328 days,July
2024-07-05,Category B,SKU-101,Customer 030,135,20,2184,26 days,328 days,July
2024-07-05,Category B,SKU-102,Customer 030,13,20,1507,26 days,328 days,July
2024-07-05,Category B,SKU-103,Customer 030,14,20,1901,26 days,328 days,July
2024-08-05,Category B,SKU-104,Customer 034,7,20,709,27 days,327 days,August
2024-08-05,Category B,SKU-105,Customer 035,2,20,1217,27 days,327 days,August
2024-08-05,Category B,SKU-106,Customer 035,3,20,1505,27 days,327 days,August
2024-09-05,Category B,SKU-107,Customer 020,165,20,1710,28 days,326 days,September
2024-09-05,Category B,SKU-108,Customer 036,165,20,1710,28 days,326 days,September
2024-09-05,Category B,SKU-109,Customer 032,210,20,2428,28 days,326 days,September
2024-09-05,Category B,SKU-110,Customer 029,174,20,4347,28 days,326 days,September
