Container_ID,TEU_Size,Cargo_Type,Entry_Date,Exit_Date,Expected_Exit_Date,Dwell_Time_Days,On_Time,Occupied_TEU
CNT00001,1,General,2025-09-11,2025-09-29,2025-09-16,18,False,1
CNT00002,1,Hazardous,2025-04-29,2025-05-05,2025-05-04,6,False,1
CNT00003,1,General,2025-04-07,2025-04-08,2025-04-12,1,True,1
CNT00004,1,Tank,2025-06-10,2025-06-18,2025-06-15,8,False,1
CNT00005,1,General,2025-06-02,2025-06-10,2025-06-07,8,False,1
CNT00006,1,General,2025-05-28,2025-05-30,2025-06-02,2,True,1
CNT00007,1,Tank,2025-05-06,2025-05-11,2025-05-11,5,True,1
CNT00008,1,Tank,2025-04-27,2025-05-01,2025-05-02,4,True,1
CNT00009,1,General,2025-09-21,2025-09-24,2025-09-26,3,True,1
CNT00010,1,Tank,2025-08-18,2025-08-28,2025-08-23,10,False,1
CNT00011,1,General,2025-04-23,2025-05-14,2025-04-28,21,False,1
CNT00012,1,General,2025-08-30,2025-09-04,2025-09-04,5,True,1
CNT00013,1,Tank,2025-07-18,2025-07-19,2025-07-23,1,True,1
CNT00014,1,Reefer,2025-04-09,2025-04-18,2025-04-14,9,False,1
CNT00015,1,General,2025-04-08,2025-04-12,2025-04-13,4,True,1
CNT00016,1,Hazardous,2025-04-24,2025-05-01,2025-04-29,7,False,1
CNT00017,1,General,2025-05-26,2025-05-30,2025-05-31,4,True,1
CNT00018,1,Hazardous,2025-05-30,2025-06-02,2025-06-04,3,True,1
CNT00019,1,General,2025-08-08,2025-08-13,2025-08-13,5,True,1
CNT00020,1,Reefer,2025-09-02,2025-09-11,2025-09-07,9,False,1
CNT00021,1,General,2025-04-07,2025-04-23,2025-04-12,16,False,1
CNT00022,1,Reefer,2025-08-22,2025-08-25,2025-08-27,3,True,1
CNT00023,1,Tank,2025-05-21,2025-06-07,2025-05-26,17,False,1
CNT00024,1,General,2025-09-14,2025-09-16,2025-09-19,2,True,1
CNT00025,1,Tank,2025-09-27,2025-10-14,2025-10-02,17,False,1
CNT00026,1,General,2025-08-18,2025-08-27,2025-08-23,9,False,1
CNT00027,1,General,2025-07-17,2025-07-20,2025-07-22,3,True,1
CNT00028,1,General,2025-05-27,2025-05-30,2025-06-01,3,True,1
CNT00029,1,General,2025-07-24,2025-08-02,2025-07-29,9,False,1
CNT00030,1,Hazardous,2025-08-29,2025-09-01,2025-09-03,3,True,1
CNT00031,1,Hazardous,2025-06-11,2025-06-24,2025-06-16,13,False,1
CNT00032,1,Tank,2025-04-02,2025-04-07,2025-04-07,5,True,1
CNT00033,1,General,2025-05-11,2025-05-15,2025-05-16,4,True,1
CNT00034,1,Tank,2025-09-26,2025-09-30,2025-10-01,4,True,1
CNT00035,1,Tank,2025-07-18,2025-07-20,2025-07-23,2,True,1
CNT00036,1,Hazardous,2025-06-27,2025-07-06,2025-07-02,9,False,1
CNT00037,1,Hazardous,2025-06-11,2025-06-15,2025-06-16,4,True,1
CNT00038,1,Hazardous,2025-05-10,2025-05-11,2025-05-15,1,True,1
CNT00039,1,General,2025-05-26,2025-06-07,2025-05-31,12,False,1
CNT00040,1,General,2025-06-26,2025-07-01,2025-07-01,5,True,1
CNT00041,1,General,2025-04-27,2025-05-04,2025-05-02,7,False,1
CNT00042,1,Hazardous,2025-04-24,2025-04-28,2025-04-29,4,True,1
CNT00043,1,General,2025-07-07,2025-07-09,2025-07-12,2,True,1
CNT00044,1,Tank,2025-04-25,2025-04-27,2025-04-30,2,True,1
CNT00045,1,Reefer,2025-07-01,2025-07-11,2025-07-06,10,False,1
CNT00046,1,Reefer,2025-06-28,2025-07-02,2025-07-03,4,True,1
CNT00047,1,Reefer,2025-09-02,2025-09-04,2025-09-07,2,True,1
CNT00048,1,General,2025-06-07,2025-06-13,2025-06-12,6,False,1
CNT00049,1,Hazardous,2025-04-12,2025-04-24,2025-04-17,12,False,1
CNT00050,1,General,2025-07-27,2025-08-01,2025-08-01,5,True,1
CNT00051,1,General,2025-08-16,2025-08-19,2025-08-21,3,True,1
CNT00052,1,General,2025-05-02,2025-05-04,2025-05-07,2,True,1
CNT00053,1,Tank,2025-07-06,2025-07-08,2025-07-11,2,True,1
CNT00054,1,Reefer,2025-04-21,2025-04-24,2025-04-26,3,True,1
CNT00055,1,Hazardous,2025-08-20,2025-08-21,2025-08-25,1,True,1
CNT00056,1,General,2025-06-15,2025-07-05,2025-06-20,20,False,1
CNT00057,1,General,2025-09-08,2025-09-11,2025-09-13,3,True,1
CNT00058,1,General,2025-09-06,2025-09-08,2025-09-11,2,True,1
CNT00059,1,Reefer,2025-07-02,2025-07-06,2025-07-07,4,True,1
CNT00060,1,Hazardous,2025-08-26,2025-08-30,2025-08-31,4,True,1
CNT00061,1,Hazardous,2025-05-20,2025-05-25,2025-05-25,5,True,1
CNT00062,1,Tank,2025-09-28,2025-10-02,2025-10-03,4,True,1
CNT00063,1,General,2025-04-18,2025-04-22,2025-04-23,4,True,1
CNT00064,1,Reefer,2025-04-12,2025-04-16,2025-04-17,4,True,1
CNT00065,1,Hazardous,2025-09-17,2025-09-28,2025-09-22,11,False,1
CNT00066,1,General,2025-05-29,2025-06-06,2025-06-03,8,False,1
CNT00067,1,Reefer,2025-06-14,2025-06-15,2025-06-19,1,True,1
CNT00068,1,General,2025-04-21,2025-05-05,2025-04-26,14,False,1
CNT00069,1,Hazardous,2025-05-30,2025-06-02,2025-06-04,3,True,1
CNT00070,1,Reefer,2025-04-26,2025-04-30,2025-05-01,4,True,1
CNT00071,1,General,2025-07-07,2025-07-08,2025-07-12,1,True,1
CNT00072,1,Reefer,2025-06-11,2025-06-17,2025-06-16,6,False,1
CNT00073,1,General,2025-07-26,2025-08-04,2025-07-31,9,False,1
CNT00074,1,Reefer,2025-09-10,2025-09-13,2025-09-15,3,True,1
CNT00075,1,Tank,2025-07-03,2025-07-05,2025-07-08,2,True,1
CNT00076,1,Hazardous,2025-05-12,2025-05-18,2025-05-17,6,False,1
CNT00077,1,Reefer,2025-07-04,2025-07-24,2025-07-09,20,False,1
CNT00078,1,General,2025-06-30,2025-07-05,2025-07-05,5,True,1
