Month,Depot,SKU,Forecast,Validty,Product Category,Active
01-06-2025,Depot A,SKU-001,120772,Valid,Product A,Active
01-06-2025,Depot A,SKU-002,3001,Valid,Product A,Active
01-06-2025,Depot A,SKU-003,1555,Valid,Product A,Active
01-06-2025,Depot A,SKU-004,1424,Valid,Product A,Active
01-06-2025,Depot A,SKU-005,12097,Valid,Product A,Active
01-06-2025,Depot A,SKU-006,1106,Valid,Product A,Active
01-06-2025,Depot A,SKU-007,11844,Valid,Product A,Active
01-06-2025,Depot A,SKU-008,1094,Valid,Product A,Not Active
01-06-2025,Depot A,SKU-009,4555,Valid,Product A,Not Active
01-06-2025,Depot A,SKU-010,1971,Valid,Product A,Active
01-06-2025,Depot A,SKU-011,1477,Valid,Product A,Active
01-06-2025,Depot A,SKU-012,2437,Valid,Product A,Not Active
01-06-2025,Depot A,SKU-013,2932,Valid,Product A,Not Active
01-06-2025,Depot A,SKU-014,1764,Valid,Product A,Not Active
01-06-2025,Depot A,SKU-015,142,Valid,Product A,Active
01-06-2025,Depot A,SKU-016,22100,Valid,Product A,Active
01-06-2025,Depot A,SKU-017,1468,Valid,Product A,Active
01-06-2025,Depot A,SKU-018,6351,Valid,Product A,Active
01-06-2025,Depot A,SKU-019,884,Valid,Product A,Active
01-06-2025,Depot A,SKU-020,2463,Valid,Product A,Active
01-06-2025,Depot A,SKU-021,2535,Valid,Product A,Active
01-06-2025,Depot A,SKU-022,1246,Valid,Product A,Active
01-06-2025,Depot A,SKU-023,262,Valid,Product A,Active
01-06-2025,Depot A,SKU-024,5541,Valid,Product A,Active
01-06-2025,Depot A,SKU-025,407,Valid,Product A,Active
01-06-2025,Depot A,SKU-026,2194,Valid,Product A,Active
01-06-2025,Depot A,SKU-027,2857,Valid,Product A,Active
01-06-2025,Depot A,SKU-028,1785,Valid,Product A,Active
01-06-2025,Depot A,SKU-029,2373,Valid,Product A,Active
01-06-2025,Depot A,SKU-030,1125,Valid,Product A,Active
01-06-2025,Depot A,SKU-031,539,Valid,Product A,Active
01-06-2025,Depot A,SKU-032,1667,Valid,Product A,Active
01-06-2025,Depot A,SKU-033,2198,Valid,Product A,Active
01-06-2025,Depot A,SKU-034,1253,Valid,Product A,Active
01-06-2025,Depot A,SKU-035,328,Valid,Product A,Active
01-06-2025,Depot A,SKU-036,751,Valid,Product A,Active
01-06-2025,Depot A,SKU-037,2046,Valid,Product A,Active
01-06-2025,Depot A,SKU-038,870,Valid,Product A,Active
01-06-2025,Depot A,SKU-039,384,Valid,Product A,Active
01-06-2025,Depot A,SKU-040,39,Valid,Product A,Active
01-06-2025,Depot A,SKU-041,8443,Valid,Product A,Not Active
01-06-2025,Depot A,SKU-042,914,Valid,Product A,Not Active
01-06-2025,Depot A,SKU-043,1324,Valid,Product A,Not Active
01-06-2025,Depot A,SKU-044,3545,Valid,Product A,Not Active
