Finacial Year,Quarter,Sum of QTY,SKU,Depot
2022-2023,Qtr 1,102720,SKU-001,Depot 01
2022-2023,Qtr 2,4614,SKU-001,Depot 01
2022-2023,Qtr 3,7800,SKU-001,Depot 01
2022-2023,Qtr 4,14320,SKU-001,Depot 01
2022-2023,Qtr 1,190450,SKU-001,Depot 02
2022-2023,Qtr 2,26640,SKU-001,Depot 02
2022-2023,Qtr 3,63474,SKU-001,Depot 02
2022-2023,Qtr 4,80440,SKU-001,Depot 02
2022-2023,Qtr 1,40240,SKU-001,Depot 03
2022-2023,Qtr 2,7320,SKU-001,Depot 03
2022-2023,Qtr 3,13440,SKU-001,Depot 03
2022-2023,Qtr 4,29040,SKU-001,Depot 03
2022-2023,Qtr 1,146280,SKU-001,Depot 04
2022-2023,Qtr 2,25880,SKU-001,Depot 04
2022-2023,Qtr 3,27700,SKU-001,Depot 04
2022-2023,Qtr 4,61495,SKU-001,Depot 04
2022-2023,Qtr 1,132640,SKU-001,Depot 05
2022-2023,Qtr 2,17640,SKU-001,Depot 05
2022-2023,Qtr 3,33520,SKU-001,Depot 05
2022-2023,Qtr 4,52990,SKU-001,Depot 05
2022-2023,Qtr 1,69280,SKU-001,Depot 06
2022-2023,Qtr 2,17160,SKU-001,Depot 06
2022-2023,Qtr 3,20745,SKU-001,Depot 06
2022-2023,Qtr 4,10870,SKU-001,Depot 06
2022-2023,Qtr 1,70120,SKU-001,Depot 07
2022-2023,Qtr 2,9640,SKU-001,Depot 07
2022-2023,Qtr 3,54120,SKU-001,Depot 07
2022-2023,Qtr 4,35720,SKU-001,Depot 07
2022-2023,Qtr 1,83440,SKU-001,Depot 08
2022-2023,Qtr 2,12680,SKU-001,Depot 08
2022-2023,Qtr 3,13160,SKU-001,Depot 08
2022-2023,Qtr 4,5960,SKU-001,Depot 08
2022-2023,Qtr 1,149960,SKU-001,Depot 09
2022-2023,Qtr 2,24260,SKU-001,Depot 09
2022-2023,Qtr 3,32467,SKU-001,Depot 09
2022-2023,Qtr 4,34560,SKU-001,Depot 09
2022-2023,Qtr 1,71400,SKU-001,Depot 10
2022-2023,Qtr 2,11560,SKU-001,Depot 10
2022-2023,Qtr 3,9200,SKU-001,Depot 10
2022-2023,Qtr 4,40280,SKU-001,Depot 10
2022-2023,Qtr 1,669760,SKU-001,Depot 11
2022-2023,Qtr 2,184504,SKU-001,Depot 11
2022-2023,Qtr 3,240485,SKU-001,Depot 11
2022-2023,Qtr 4,212250,SKU-001,Depot 11
2022-2023,Qtr 1,186760,SKU-001,Depot 12
2022-2023,Qtr 2,42020,SKU-001,Depot 12
2022-2023,Qtr 3,31820,SKU-001,Depot 12
2022-2023,Qtr 4,70680,SKU-001,Depot 12
2022-2023,Qtr 1,2741960,SKU-001,Depot 13
2022-2023,Qtr 2,610197,SKU-001,Depot 13
2022-2023,Qtr 3,1126954,SKU-001,Depot 13
2022-2023,Qtr 4,1362350,SKU-001,Depot 13
2022-2023,Qtr 1,265820,SKU-001,Depot 14
2022-2023,Qtr 2,41600,SKU-001,Depot 14
2022-2023,Qtr 3,168340,SKU-001,Depot 14
2022-2023,Qtr 4,96940,SKU-001,Depot 14
2022-2023,Qtr 1,97440,SKU-001,Depot 15
2022-2023,Qtr 2,15040,SKU-001,Depot 15
2022-2023,Qtr 3,12210,SKU-001,Depot 15
2022-2023,Qtr 4,7520,SKU-001,Depot 15
2022-2023,Qtr 1,432560,SKU-001,Depot 16
2022-2023,Qtr 2,53700,SKU-001,Depot 16
2022-2023,Qtr 3,102504,SKU-001,Depot 16
2022-2023,Qtr 4,171420,SKU-001,Depot 16
2022-2023,Qtr 1,928530,SKU-001,Depot 17
2022-2023,Qtr 2,297680,SKU-001,Depot 17
2022-2023,Qtr 3,433660,SKU-001,Depot 17
2022-2023,Qtr 4,586423,SKU-001,Depot 17
2023-2024,Qtr 1,52520,SKU-001,Depot 01
2023-2024,Qtr 2,20160,SKU-001,Depot 01
2023-2024,Qtr 3,39840,SKU-001,Depot 01
2023-2024,Qtr 4,44840,SKU-001,Depot 01
2023-2024,Qtr 1,177140,SKU-001,Depot 02
2023-2024,Qtr 2,29120,SKU-001,Depot 02
2023-2024,Qtr 3,92600,SKU-001,Depot 02
2023-2024,Qtr 4,53120,SKU-001,Depot 02
2023-2024,Qtr 1,29520,SKU-001,Depot 03
2023-2024,Qtr 2,7080,SKU-001,Depot 03
2023-2024,Qtr 3,19720,SKU-001,Depot 03
2023-2024,Qtr 4,21680,SKU-001,Depot 03
2023-2024,Qtr 1,80180,SKU-001,Depot 04
2023-2024,Qtr 2,24240,SKU-001,Depot 04
2023-2024,Qtr 3,25520,SKU-001,Depot 04
2023-2024,Qtr 4,67970,SKU-001,Depot 04
2023-2024,Qtr 1,70870,SKU-001,Depot 05
2023-2024,Qtr 2,25800,SKU-001,Depot 05
2023-2024,Qtr 3,36680,SKU-001,Depot 05
2023-2024,Qtr 4,50590,SKU-001,Depot 05
2023-2024,Qtr 1,5160,SKU-001,Depot 06
2023-2024,Qtr 2,3400,SKU-001,Depot 06
2023-2024,Qtr 3,23000,SKU-001,Depot 06
2023-2024,Qtr 4,18930,SKU-001,Depot 06
2023-2024,Qtr 1,42120,SKU-001,Depot 07
2023-2024,Qtr 2,3040,SKU-001,Depot 07
2023-2024,Qtr 3,46780,SKU-001,Depot 07
