Order ID,Order State,Region (Order),Inventory Location,Region (Inventory),Process,Responsible Person,Subprocess,Target Cycle Time,Sub Actual Start Date,Sub Actual End Date,Status Type,Quantity,Actual Cycle Time,Order Start Date,Process Sequence,Subprocess Sequence,Client Name,Assigned Responsible Person
ORD0027,Nagpur,South,Bhiwandi,West,Procurement,Procurement,Submit New Request,2,20-Apr-25,22-Apr-25,On Time,408,2,1-Apr-25,2,1,Client A,Procurement Person 1
ORD0036,Bhopal,South,Valsad,West,Procurement,Procurement,Submit New Request,2,12-Apr-25,14-Apr-25,On Time,898,2,1-Apr-25,2,1,Client D,Procurement Person 1
ORD0051,Jaipur,North,Indore,West,Procurement,Procurement,Submit New Request,2,19-Apr-25,21-Apr-25,On Time,1253,2,1-Apr-25,2,1,Client D,Procurement Person 1
ORD0068,Guwahati,South,Bhiwandi,West,Procurement,Procurement,Submit New Request,2,11-Apr-25,13-Apr-25,Delay,1046,2,1-Apr-25,2,1,Client E,Procurement Person 1
ORD0079,Ahmedabad,South,Valsad,West,Procurement,Procurement,Submit New Request,2,10-Apr-25,12-Apr-25,On Time,688,2,1-Apr-25,2,1,Client E,Procurement Person 1
ORD0103,Mumbai,East,Pune,West,Procurement,Procurement,Submit New Request,2,21-Apr-25,23-Apr-25,On Time,322,2,1-Apr-25,2,1,Client C,Procurement Person 1
ORD0107,Kolkata,South,Assam,West,Procurement,Procurement,Submit New Request,2,15-Apr-25,17-Apr-25,Delay,1303,2,1-Apr-25,2,1,Client G,Procurement Person 1
ORD0125,Mumbai,East,Pune,West,Procurement,Procurement,Submit New Request,2,19-Apr-25,21-Apr-25,Delay,780,2,1-Apr-25,2,1,Client G,Procurement Person 1
ORD0145,Delhi,South,Valsad,West,Procurement,Procurement,Submit New Request,2,10-Apr-25,12-Apr-25,On Time,536,2,1-Apr-25,2,1,Client J,Procurement Person 1
ORD0146,Ranchi,North,Bhiwandi,West,Procurement,Procurement,Submit New Request,2,20-Apr-25,22-Apr-25,Delay,1020,2,1-Apr-25,2,1,Client D,Procurement Person 1
ORD0160,Chandigarh,West,Valsad,West,Procurement,Procurement,Submit New Request,2,19-Apr-25,21-Apr-25,On Time,1257,2,1-Apr-25,2,1,Client F,Procurement Person 1
ORD0168,Mumbai,West,Mirzapur,West,Procurement,Procurement,Submit New Request,2,12-Apr-25,14-Apr-25,Delay,1397,2,1-Apr-25,2,1,Client D,Procurement Person 1
ORD0171,Ranchi,South,Valsad,West,Procurement,Procurement,Submit New Request,2,10-Apr-25,12-Apr-25,On Time,452,2,1-Apr-25,2,1,Client D,Procurement Person 1
ORD0172,Bangalore,East,Pune,West,Procurement,Procurement,Submit New Request,2,17-Apr-25,19-Apr-25,On Time,512,2,1-Apr-25,2,1,Client C,Procurement Person 1
ORD0191,Jaipur,South,Valsad,West,Procurement,Procurement,Submit New Request,2,12-Apr-25,14-Apr-25,On Time,623,2,1-Apr-25,2,1,Client H,Procurement Person 1
ORD0193,Nagpur,West,Pune,West,Procurement,Procurement,Submit New Request,2,17-Apr-25,19-Apr-25,On Time,1292,2,1-Apr-25,2,1,Client F,Procurement Person 1
ORD0196,Guwahati,North,Valsad,West,Procurement,Procurement,Submit New Request,2,10-Apr-25,12-Apr-25,On Time,442,2,1-Apr-25,2,1,Client A,Procurement Person 1
ORD0199,Jaipur,West,Mirzapur,West,Procurement,Procurement,Submit New Request,2,24-Apr-25,26-Apr-25,On Time,845,2,1-Apr-25,2,1,Client J,Procurement Person 1
ORD0227,Bhopal,West,Pune,West,Procurement,Procurement,Submit New Request,2,19-Apr-25,21-Apr-25,Delay,1354,2,1-Apr-25,2,1,Client I,Procurement Person 1
ORD0233,Delhi,East,Bhiwandi,West,Procurement,Procurement,Submit New Request,2,23-Apr-25,25-Apr-25,On Time,1325,2,1-Apr-25,2,1,Client G,Procurement Person 1
ORD0241,Nagpur,West,Indore,West,Procurement,Procurement,Submit New Request,2,13-Apr-25,15-Apr-25,Delay,743,2,1-Apr-25,2,1,Client C,Procurement Person 1
ORD0245,Delhi,North,Valsad,West,Procurement,Procurement,Submit New Request,2,20-Apr-25,22-Apr-25,On Time,834,2,1-Apr-25,2,1,Client D,Procurement Person 1
ORD0255,Bhopal,South,Valsad,West,Procurement,Procurement,Submit New Request,2,23-Apr-25,25-Apr-25,On Time,1405,2,1-Apr-25,2,1,Client G,Procurement Person 1
ORD0260,Guwahati,North,Assam,West,Procurement,Procurement,Submit New Request,2,9-Apr-25,11-Apr-25,On Time,854,2,1-Apr-25,2,1,Client F,Procurement Person 1
ORD0277,Jaipur,North,Pune,West,Procurement,Procurement,Submit New Request,2,12-Apr-25,14-Apr-25,Delay,522,2,1-Apr-25,2,1,Client A,Procurement Person 1
ORD0285,Nagpur,East,Valsad,West,Procurement,Procurement,Submit New Request,2,18-Apr-25,20-Apr-25,On Time,670,2,1-Apr-25,2,1,Client B,Procurement Person 1
ORD0315,Mumbai,South,Pune,West,Procurement,Procurement,Submit New Request,2,10-Apr-25,12-Apr-25,Delay,1418,2,1-Apr-25,2,1,Client H,Procurement Person 1
ORD0326,Bangalore,West,Bhiwandi,West,Procurement,Procurement,Submit New Request,2,9-Apr-25,11-Apr-25,Delay,672,2,1-Apr-25,2,1,Client A,Procurement Person 1
ORD0334,Vishakhapatnam,South,Bhiwandi,West,Procurement,Procurement,Submit New Request,2,22-Apr-25,24-Apr-25,On Time,1451,2,1-Apr-25,2,1,Client A,Procurement Person 1
ORD0393,Ranchi,North,Valsad,West,Procurement,Procurement,Submit New Request,2,15-Apr-25,17-Apr-25,Delay,912,2,1-Apr-25,2,1,Client H,Procurement Person 1
ORD0398,Ranchi,West,Valsad,West,Procurement,Procurement,Submit New Request,2,22-Apr-25,24-Apr-25,On Time,1379,2,1-Apr-25,2,1,Client F,Procurement Person 1
ORD0411,Surat,West,Indore,West,Procurement,Procurement,Submit New Request,2,19-Apr-25,21-Apr-25,On Time,1022,2,1-Apr-25,2,1,Client C,Procurement Person 1
ORD0425,Vishakhapatnam,South,Bhiwandi,West,Procurement,Procurement,Submit New Request,2,14-Apr-25,16-Apr-25,On Time,999,2,1-Apr-25,2,1,Client H,Procurement Person 1
ORD0438,Chennai,South,Mirzapur,West,Procurement,Procurement,Submit New Request,2,9-Apr-25,11-Apr-25,Delay,1256,2,1-Apr-25,2,1,Client G,Procurement Person 1
ORD0442,Jaipur,West,Mirzapur,West,Procurement,Procurement,Submit New Request,2,20-Apr-25,22-Apr-25,Delay,1082,2,1-Apr-25,2,1,Client J,Procurement Person 1
ORD0456,Ahmedabad,North,Valsad,West,Procurement,Procurement,Submit New Request,2,12-Apr-25,14-Apr-25,Delay,1179,2,1-Apr-25,2,1,Client A,Procurement Person 1
ORD0464,Bhopal,North,Bhiwandi,West,Procurement,Procurement,Submit New Request,2,17-Apr-25,19-Apr-25,On Time,1290,2,1-Apr-25,2,1,Client E,Procurement Person 1
ORD0476,Vishakhapatnam,North,Bhiwandi,West,Procurement,Procurement,Submit New Request,2,24-Apr-25,26-Apr-25,Delay,1389,2,1-Apr-25,2,1,Client D,Procurement Person 1
ORD0482,Bangalore,West,Indore,West,Procurement,Procurement,Submit New Request,2,21-Apr-25,23-Apr-25,On Time,741,2,1-Apr-25,2,1,Client I,Procurement Person 1
ORD0485,Vishakhapatnam,South,Pune,West,Procurement,Procurement,Submit New Request,2,10-Apr-25,12-Apr-25,On Time,1462,2,1-Apr-25,2,1,Client I,Procurement Person 1
ORD0489,Chandigarh,West,Pune,West,Procurement,Procurement,Submit New Request,2,11-Apr-25,13-Apr-25,Delay,565,2,1-Apr-25,2,1,Client H,Procurement Person 1
ORD0490,Chennai,East,Assam,West,Procurement,Procurement,Submit New Request,2,19-Apr-25,21-Apr-25,On Time,1173,2,1-Apr-25,2,1,Client E,Procurement Person 1
ORD0497,Chennai,North,Bhiwandi,West,Procurement,Procurement,Submit New Request,2,23-Apr-25,25-Apr-25,Delay,775,2,1-Apr-25,2,1,Client H,Procurement Person 1
ORD0506,Mumbai,South,Valsad,West,Procurement,Procurement,Submit New Request,2,19-May-25,21-May-25,On Time,1174,2,1-May-25,2,1,Client B,Procurement Person 1
ORD0511,Surat,South,Bhiwandi,West,Procurement,Procurement,Submit New Request,2,18-May-25,20-May-25,Delay,903,2,1-May-25,2,1,Client B,Procurement Person 1
ORD0515,Bhopal,North,Mirzapur,West,Procurement,Procurement,Submit New Request,2,9-May-25,11-May-25,Delay,514,2,1-May-25,2,1,Client J,Procurement Person 1
ORD0521,Bhopal,South,Assam,West,Procurement,Procurement,Submit New Request,2,13-May-25,15-May-25,On Time,570,2,1-May-25,2,1,Client H,Procurement Person 1
ORD0542,Chandigarh,South,Indore,West,Procurement,Procurement,Submit New Request,2,9-May-25,11-May-25,Delay,857,2,1-May-25,2,1,Client F,Procurement Person 1
ORD0550,Vishakhapatnam,West,Mirzapur,West,Procurement,Procurement,Submit New Request,2,20-May-25,22-May-25,Delay,435,2,1-May-25,2,1,Client I,Procurement Person 1
ORD0563,Guwahati,North,Assam,West,Procurement,Procurement,Submit New Request,2,10-May-25,12-May-25,Delay,1211,2,1-May-25,2,1,Client H,Procurement Person 1
ORD0567,Vishakhapatnam,South,Mirzapur,West,Procurement,Procurement,Submit New Request,2,20-May-25,22-May-25,On Time,625,2,1-May-25,2,1,Client H,Procurement Person 1
ORD0569,Guwahati,North,Valsad,West,Procurement,Procurement,Submit New Request,2,22-May-25,24-May-25,Delay,678,2,1-May-25,2,1,Client H,Procurement Person 1
ORD0600,Bangalore,West,Bhiwandi,West,Procurement,Procurement,Submit New Request,2,20-May-25,22-May-25,On Time,1331,2,1-May-25,2,1,Client H,Procurement Person 1
ORD0636,Ahmedabad,West,Bhiwandi,West,Procurement,Procurement,Submit New Request,2,10-May-25,12-May-25,On Time,1034,2,1-May-25,2,1,Client B,Procurement Person 1
ORD0658,Guwahati,West,Mirzapur,West,Procurement,Procurement,Submit New Request,2,9-May-25,11-May-25,Delay,333,2,1-May-25,2,1,Client B,Procurement Person 1
ORD0711,Bangalore,East,Valsad,West,Procurement,Procurement,Submit New Request,2,20-May-25,22-May-25,Delay,1127,2,1-May-25,2,1,Client A,Procurement Person 1
ORD0712,Nagpur,South,Indore,West,Procurement,Procurement,Submit New Request,2,17-May-25,19-May-25,On Time,701,2,1-May-25,2,1,Client G,Procurement Person 1
ORD0725,Surat,West,Mirzapur,West,Procurement,Procurement,Submit New Request,2,17-May-25,19-May-25,Delay,979,2,1-May-25,2,1,Client F,Procurement Person 1
ORD0731,Ahmedabad,East,Valsad,West,Procurement,Procurement,Submit New Request,2,11-May-25,13-May-25,Delay,692,2,1-May-25,2,1,Client F,Procurement Person 1
ORD0763,Jaipur,South,Valsad,West,Procurement,Procurement,Submit New Request,2,21-May-25,23-May-25,On Time,1117,2,1-May-25,2,1,Client D,Procurement Person 1
ORD0777,Surat,South,Indore,West,Procurement,Procurement,Submit New Request,2,18-May-25,20-May-25,On Time,1485,2,1-May-25,2,1,Client I,Procurement Person 1
ORD0811,Ranchi,West,Bhiwandi,West,Procurement,Procurement,Submit New Request,2,16-May-25,18-May-25,Delay,475,2,1-May-25,2,1,Client I,Procurement Person 1
ORD0832,Kolkata,East,Assam,West,Procurement,Procurement,Submit New Request,2,17-May-25,19-May-25,Delay,848,2,1-May-25,2,1,Client G,Procurement Person 1
ORD0844,Vishakhapatnam,South,Indore,West,Procurement,Procurement,Submit New Request,2,13-May-25,15-May-25,Delay,403,2,1-May-25,2,1,Client J,Procurement Person 1
ORD0848,Mumbai,East,Bhiwandi,West,Procurement,Procurement,Submit New Request,2,9-May-25,11-May-25,On Time,501,2,1-May-25,2,1,Client E,Procurement Person 1
ORD0858,Chennai,North,Mirzapur,West,Procurement,Procurement,Submit New Request,2,10-May-25,12-May-25,On Time,521,2,1-May-25,2,1,Client D,Procurement Person 1
ORD0860,Ranchi,East,Indore,West,Procurement,Procurement,Submit New Request,2,17-May-25,19-May-25,Delay,831,2,1-May-25,2,1,Client I,Procurement Person 1
ORD0876,Bangalore,North,Valsad,West,Procurement,Procurement,Submit New Request,2,21-May-25,23-May-25,Delay,1267,2,1-May-25,2,1,Client H,Procurement Person 1
ORD0879,Ahmedabad,South,Mirzapur,West,Procurement,Procurement,Submit New Request,2,22-May-25,24-May-25,Delay,346,2,1-May-25,2,1,Client F,Procurement Person 1
ORD0883,Nagpur,North,Valsad,West,Procurement,Procurement,Submit New Request,2,11-May-25,13-May-25,On Time,760,2,1-May-25,2,1,Client B,Procurement Person 1
ORD0900,Ranchi,North,Pune,West,Procurement,Procurement,Submit New Request,2,19-May-25,21-May-25,Delay,361,2,1-May-25,2,1,Client G,Procurement Person 1
ORD0928,Nagpur,South,Valsad,West,Procurement,Procurement,Submit New Request,2,13-May-25,15-May-25,On Time,1188,2,1-May-25,2,1,Client G,Procurement Person 1
