Order ID,Order State,Region (Order),Inventory Location,Region (Inventory),Process,Subprocess,Sub TAT (Days),Sub Actual Start Date,Sub Actual End Date,Status Type,Status,Quantity,Actual Days,Order Start Date,Month,Process Sequence,Subprocess Sequence
ORD0001,Ahmedabad,West,Indore,West,Dispatch,Verify Shipping Details,1,7/27/2025,7/28/2025,On Time,1,654,1,6/13/2025,June,4,1
ORD0001,Ahmedabad,West,Indore,West,Dispatch,Generate Shipping Labels,3,7/28/2025,8/1/2025,Delay,1,654,4,6/13/2025,June,4,2
ORD0001,Ahmedabad,West,Indore,West,Dispatch,Schedule Pickup or Delivery,1,7/31/2025,8/3/2025,Delay,1,654,3,6/13/2025,June,4,3
ORD0001,Ahmedabad,West,Indore,West,Invoice,Verify Invoice Details,0,6/13/2025,6/14/2025,Delay,1,654,1,6/13/2025,June,1,1
ORD0001,Ahmedabad,West,Indore,West,Invoice,Authorize Payment,2,6/13/2025,6/15/2025,On Time,1,654,2,6/13/2025,June,1,2
ORD0001,Ahmedabad,West,Indore,West,Invoice,Validate Tax and Charges,3,6/15/2025,6/18/2025,On Time,1,654,3,6/13/2025,June,1,3
ORD0001,Ahmedabad,West,Indore,West,Invoice,Update Accounts Payable,4,6/18/2025,6/24/2025,Delay,1,654,6,6/13/2025,June,1,4
ORD0001,Ahmedabad,West,Indore,West,Payment,Verify Invoice Details,1,8/1/2025,8/2/2025,On Time,1,654,1,6/13/2025,June,5,1
ORD0001,Ahmedabad,West,Indore,West,Payment,Authorize Payment,1,8/2/2025,8/4/2025,Delay,1,654,2,6/13/2025,June,5,2
ORD0001,Ahmedabad,West,Indore,West,Payment,Process Payment,1,8/3/2025,8/4/2025,On Time,1,654,1,6/13/2025,June,5,3
ORD0001,Ahmedabad,West,Indore,West,Procurement,Submit New Request,2,6/22/2025,6/24/2025,On Time,1,654,2,6/13/2025,June,2,1
ORD0001,Ahmedabad,West,Indore,West,Procurement,Review Request,2,6/24/2025,6/26/2025,On Time,1,654,2,6/13/2025,June,2,2
ORD0001,Ahmedabad,West,Indore,West,Procurement,Prepare PO,2,6/26/2025,6/28/2025,On Time,1,654,2,6/13/2025,June,2,3
ORD0001,Ahmedabad,West,Indore,West,Procurement,Send PO to Supplier,2,6/28/2025,6/30/2025,On Time,1,654,2,6/13/2025,June,2,4
ORD0001,Ahmedabad,West,Indore,West,Procurement,Receive Raw Material,3,6/30/2025,7/3/2025,On Time,1,654,3,6/13/2025,June,2,5
ORD0001,Ahmedabad,West,Indore,West,Procurement,Quality Check,2,7/3/2025,7/5/2025,On Time,1,654,2,6/13/2025,June,2,6
ORD0001,Ahmedabad,West,Indore,West,Procurement,Receive Raw Material in Store,2,7/5/2025,7/7/2025,On Time,1,654,2,6/13/2025,June,2,7
ORD0001,Ahmedabad,West,Indore,West,Production,Initiate Production,7,7/7/2025,7/14/2025,On Time,1,654,7,6/13/2025,June,3,1
ORD0001,Ahmedabad,West,Indore,West,Production,Issue Raw Material,6,7/14/2025,7/21/2025,Delay,1,654,7,6/13/2025,June,3,2
ORD0001,Ahmedabad,West,Indore,West,Production,Complete Production,7,7/20/2025,7/27/2025,On Time,1,654,7,6/13/2025,June,3,3
