Month,Region,SKU,Quantity,Percentage Revenue Change,Projected Demand,Percent Demand Change (%)
01-04-2025,North,B,167,2,157,-5.80%
01-05-2025,North,B,238,2,217,-8.70%
01-06-2025,North,B,200,2,185,-7.50%
01-07-2025,North,B,245,2,237,-3.10%
01-08-2025,North,B,253,2,231,-8.90%
01-09-2025,North,B,240,2,234,-2.40%
01-10-2025,North,B,182,2,167,-8.30%
01-11-2025,North,B,191,2,172,-9.80%
01-12-2025,North,B,204,2,194,-4.90%
01-01-2026,North,B,204,2,197,-3.60%
01-02-2026,North,B,185,2,179,-3.50%
01-03-2026,North,B,196,2,182,-7.30%
01-04-2025,North,B,297,2,287,-3.20%
01-05-2025,North,B,417,2,375,-10.10%
01-06-2025,North,B,362,2,343,-5.30%
01-07-2025,North,B,436,2,410,-6.10%
01-08-2025,North,B,415,2,368,-11.30%
01-09-2025,North,B,412,2,388,-5.80%
01-10-2025,North,B,302,2,274,-9.20%
01-11-2025,North,B,300,2,276,-7.90%
01-12-2025,North,B,376,2,355,-5.60%
01-01-2026,North,B,302,2,282,-6.70%
01-02-2026,North,B,265,2,234,-11.80%
01-03-2026,North,B,339,2,321,-5.40%
01-04-2025,South,B,65,2,64,-2.20%
01-05-2025,South,B,104,2,99,-5.30%
01-06-2025,South,B,94,2,89,-5.20%
01-07-2025,South,B,94,2,90,-4.50%
01-08-2025,South,B,92,2,84,-9.20%
01-09-2025,South,B,170,2,164,-3.30%
01-10-2025,South,B,93,2,86,-7.80%
01-11-2025,South,B,143,2,133,-6.70%
01-12-2025,South,B,174,2,163,-6.00%
01-01-2026,South,B,128,2,114,-11.20%
01-02-2026,South,B,84,2,79,-5.70%
01-03-2026,South,B,126,2,122,-3.50%
01-04-2025,South,B,158,2,147,-6.70%
01-05-2025,South,B,77,2,75,-2.50%
01-06-2025,South,B,87,2,81,-6.60%
01-07-2025,South,B,126,2,113,-10.40%
01-08-2025,South,B,121,2,111,-8.60%
01-09-2025,South,B,109,2,104,-4.60%
01-10-2025,South,B,70,2,62,-11.10%
01-11-2025,South,B,124,2,112,-9.80%
01-12-2025,South,B,169,2,149,-11.70%
01-01-2026,South,B,151,2,145,-3.90%
01-02-2026,South,B,84,2,77,-8.60%
01-03-2026,South,B,99,2,94,-5.50%
01-04-2025,West,B,158,2,153,-3.30%
01-05-2025,West,B,212,2,196,-7.30%
01-06-2025,West,B,230,2,212,-8.00%
01-07-2025,West,B,155,2,140,-10.00%
01-08-2025,West,B,219,2,204,-6.70%
01-09-2025,West,B,169,2,157,-7.30%
01-10-2025,West,B,180,2,170,-5.80%
01-11-2025,West,B,234,2,215,-8.20%
01-12-2025,West,B,172,2,166,-3.70%
01-01-2026,West,B,176,2,172,-2.40%
01-02-2026,West,B,189,2,169,-10.70%
01-03-2026,West,B,239,2,231,-3.50%
01-04-2025,West,B,218,2,205,-6.10%
01-05-2025,West,B,226,2,221,-2.40%
01-06-2025,West,B,134,2,123,-8.10%
01-07-2025,West,B,183,2,163,-11.10%
01-08-2025,West,B,239,2,211,-11.60%
01-09-2025,West,B,200,2,190,-4.80%
01-10-2025,West,B,217,2,202,-6.70%
01-11-2025,West,B,244,2,229,-6.20%
01-12-2025,West,B,200,2,178,-10.80%
01-01-2026,West,B,149,2,141,-5.40%
01-02-2026,West,B,216,2,204,-5.70%
01-03-2026,West,B,137,2,123,-10.40%
01-04-2025,West,C,213,2,199,-6.60%
01-05-2025,West,C,165,2,158,-4.20%
01-06-2025,West,C,99,2,93,-5.70%
01-07-2025,West,C,163,2,158,-2.80%
01-08-2025,West,C,89,2,84,-5.70%
01-09-2025,West,C,184,2,175,-4.60%
01-10-2025,West,C,134,2,122,-8.70%
01-11-2025,West,C,187,2,166,-11.40%
01-12-2025,West,C,216,2,197,-9.00%
01-01-2026,West,C,167,2,161,-3.50%
01-02-2026,West,C,253,2,234,-7.30%
01-03-2026,West,C,120,2,108,-10.20%
01-04-2025,West,C,159,2,146,-8.30%
01-05-2025,West,C,209,2,186,-10.90%
01-06-2025,West,C,108,2,100,-7.70%
01-07-2025,West,C,212,2,205,-3.30%
01-08-2025,West,C,200,2,177,-11.50%
01-09-2025,West,C,93,2,90,-2.90%
01-10-2025,West,C,207,2,200,-3.20%
01-11-2025,West,C,258,2,227,-11.90%
01-12-2025,West,C,143,2,127,-11.30%
01-01-2026,West,C,145,2,129,-11.30%
01-02-2026,West,C,128,2,120,-6.50%
01-03-2026,West,C,97,2,93,-3.80%
01-04-2025,South,C,141,2,135,-4.20%
01-05-2025,South,C,195,2,180,-7.50%
01-06-2025,South,C,175,2,159,-9.30%
