Month,Region,SKU,Quantity,Price,Fitted,Revenue,Percentage Change,Projected Revenue,Projected Demand,
01-Apr-25,West,C,,36,213,7668,2,7821,208,
01-May-25,West,C,,35,165,5775,2,5891,161,
01-Jun-25,West,C,,45,99,4455,2,4544,97,
01-Jul-25,West,C,,35,163,5705,2,5819,159,
01-Aug-25,West,C,,31,89,2759,2,2814,87,
01-Sep-25,West,C,,56,184,10304,2,10510,180,
01-Oct-25,West,C,,28,134,3752,2,3827,131,
01-Nov-25,West,C,,50,187,9350,2,9537,183,
01-Dec-25,West,C,,36,216,7776,2,7932,211,
01-Jan-26,West,C,,37,167,6179,2,6303,163,
01-Feb-26,West,C,,40,253,10120,2,10322,247,
01-Mar-26,West,C,,29,120,3480,2,3550,117,
01-Apr-25,West,C,,45,159,7155,2,7298,155,
01-May-25,West,C,,41,209,8569,2,8740,204,
01-Jun-25,West,C,,35,108,3780,2,3856,105,
01-Jul-25,West,C,,31,212,6572,2,6703,207,
01-Aug-25,West,C,,31,200,6200,2,6324,195,
01-Sep-25,West,C,,29,93,2697,2,2751,91,
01-Oct-25,West,C,,30,207,6210,2,6334,202,
01-Nov-25,West,C,,42,258,10836,2,11053,252,
01-Dec-25,West,C,,41,143,5863,2,5980,140,
01-Jan-26,West,C,,55,145,7975,2,8135,142,
01-Feb-26,West,C,,46,128,5888,2,6006,125,
01-Mar-26,West,C,,54,97,5238,2,5343,95,
01-Apr-25,West,C,,36,213,7668,3,7898,205,
01-May-25,West,C,,35,165,5775,3,5948,159,
01-Jun-25,West,C,,45,99,4455,3,4589,95,
01-Jul-25,West,C,,35,163,5705,3,5876,157,
01-Aug-25,West,C,,31,89,2759,3,2842,86,
01-Sep-25,West,C,,56,184,10304,3,10613,177,
01-Oct-25,West,C,,28,134,3752,3,3865,129,
01-Nov-25,West,C,,50,187,9350,3,9631,180,
01-Dec-25,West,C,,36,216,7776,3,8009,208,
01-Jan-26,West,C,,37,167,6179,3,6364,161,
01-Feb-26,West,C,,40,253,10120,3,10424,244,
