Order ID,Target cycle time,Actual Cycle Time,status
ORD0002,80,79,On Time
ORD0029,80,80,On Time
ORD0034,80,61,On Time
ORD0041,80,78,On Time
ORD0061,80,66,On Time
ORD0066,80,80,On Time
ORD0076,80,74,On Time
ORD0099,80,78,On Time
ORD0103,80,65,On Time
ORD0125,80,79,On Time
ORD0137,80,79,On Time
ORD0162,80,79,On Time
ORD0209,80,79,On Time
ORD0235,80,74,On Time
ORD0295,80,80,On Time
ORD0300,80,80,On Time
ORD0303,80,68,On Time
ORD0314,80,80,On Time
ORD0334,80,78,On Time
ORD0379,80,75,On Time
ORD0386,80,79,On Time
ORD0398,80,64,On Time
ORD0438,80,64,On Time
ORD0453,80,79,On Time
ORD0458,80,80,On Time
ORD0482,80,80,On Time
ORD0489,80,70,On Time
ORD0501,80,79,On Time
ORD0562,80,80,On Time
ORD0569,80,78,On Time
ORD0599,80,79,On Time
ORD0623,80,72,On Time
ORD0624,80,71,On Time
ORD0633,80,80,On Time
ORD0643,80,79,On Time
ORD0654,80,80,On Time
ORD0658,80,61,On Time
ORD0704,80,70,On Time
ORD0756,80,79,On Time
ORD0765,80,79,On Time
ORD0768,80,79,On Time
ORD0798,80,68,On Time
ORD0825,80,79,On Time
ORD0834,80,77,On Time
ORD0855,80,62,On Time
ORD0876,80,76,On Time
ORD0891,80,80,On Time
ORD0910,80,79,On Time
ORD0913,80,80,On Time
ORD0958,80,64,On Time
ORD0985,80,80,On Time
ORD0995,80,80,On Time
ORD0997,80,67,On Time
ORD1013,80,80,On Time
ORD1034,80,79,On Time
ORD1067,80,78,On Time
ORD1074,80,80,On Time
ORD1093,80,76,On Time
ORD1120,80,77,On Time
ORD1179,80,80,On Time
ORD1189,80,67,On Time
ORD1196,80,79,On Time
ORD1204,80,80,On Time
ORD1213,80,71,On Time
ORD1222,80,80,On Time
ORD1241,80,64,On Time
ORD1262,80,79,On Time
ORD1265,80,80,On Time
ORD1267,80,79,On Time
ORD1289,80,80,On Time
ORD1319,80,80,On Time
ORD1327,80,80,On Time
ORD1332,80,65,On Time
ORD1335,80,80,On Time
ORD1347,80,67,On Time
ORD1348,80,80,On Time
ORD1364,80,67,On Time
ORD1378,80,80,On Time
ORD1385,80,76,On Time
ORD1402,80,80,On Time
ORD1406,80,80,On Time
ORD1411,80,80,On Time
ORD1427,80,65,On Time
ORD1441,80,79,On Time
ORD1446,80,80,On Time
ORD1456,80,79,On Time
ORD1485,80,67,On Time
ORD1509,80,80,On Time
ORD1522,80,80,On Time
ORD1555,80,77,On Time
ORD1584,80,79,On Time
ORD1588,80,80,On Time
ORD1591,80,80,On Time
ORD1602,80,80,On Time
ORD1630,80,80,On Time
ORD1631,80,78,On Time
ORD1633,80,80,On Time
ORD1647,80,77,On Time
ORD1672,80,70,On Time
ORD1675,80,79,On Time
ORD1741,80,79,On Time
ORD1761,80,80,On Time
ORD1767,80,78,On Time
ORD1778,80,76,On Time
ORD1787,80,80,On Time
ORD1797,80,78,On Time
ORD1820,80,80,On Time
ORD1834,80,79,On Time
ORD1867,80,80,On Time
ORD1874,80,80,On Time
ORD1889,80,80,On Time
ORD1951,80,62,On Time
ORD1962,80,80,On Time
ORD1973,80,80,On Time
ORD2001,80,66,On Time
ORD2014,80,79,On Time
ORD2025,80,69,On Time
ORD2042,80,61,On Time
ORD2066,80,80,On Time
ORD2081,80,79,On Time
ORD2082,80,79,On Time
ORD2089,80,74,On Time
ORD2115,80,80,On Time
ORD2118,80,80,On Time
ORD2125,80,79,On Time
ORD2138,80,80,On Time
