Order ID,Order State,Region (Order),Inventory Location,Region (Inventory),Process,Responsible Person,Subprocess,Sub TAT (Days),Sub Actual Start Date,Sub Actual End Date,Status Type,Quantity,Actual Days,Order Start Date,Process Sequence,Subprocess Sequence,Client Name
ORD0031,Jaipur,West,Assam,West,Procurement,UCI Procurement,Send PO to Supplier,4,6-Aug-25,10-Aug-25,On Time,1337,4,12-Jul-25,2,4,Client E
ORD0039,Vishakhapatnam,East,Valsad,West,Procurement,UCI Procurement,Send PO to Supplier,4,25-Aug-25,29-Aug-25,On Time,601,4,1-Aug-25,2,4,Client C
ORD0076,Jaipur,South,Pune,West,Procurement,UCI Procurement,Send PO to Supplier,4,27-Aug-25,31-Aug-25,On Time,532,4,2-Aug-25,2,4,Client E
ORD0079,Ahmedabad,South,Valsad,West,Procurement,UCI Procurement,Send PO to Supplier,4,9-Aug-25,13-Aug-25,On Time,688,4,14-Jul-25,2,4,Client E
ORD0094,Kolkata,West,Bhiwandi,West,Procurement,UCI Procurement,Send PO to Supplier,4,19-Aug-25,23-Aug-25,On Time,1257,4,23-Jul-25,2,4,Client A
ORD0125,Mumbai,East,Pune,West,Procurement,UCI Procurement,Send PO to Supplier,4,2-Aug-25,6-Aug-25,On Time,780,4,4-Jul-25,2,4,Client G
ORD0130,Delhi,East,Indore,West,Procurement,UCI Procurement,Send PO to Supplier,4,23-Sep-25,27-Sep-25,On Time,963,4,27-Aug-25,2,4,Client A
ORD0145,Delhi,South,Valsad,West,Procurement,UCI Procurement,Send PO to Supplier,4,4-Jul-25,8-Jul-25,On Time,536,4,9-Jun-25,2,4,Client J
ORD0146,Ranchi,North,Bhiwandi,West,Procurement,UCI Procurement,Send PO to Supplier,4,15-Sep-25,19-Sep-25,On Time,1020,4,18-Aug-25,2,4,Client D
ORD0153,Kolkata,South,Assam,West,Procurement,UCI Procurement,Send PO to Supplier,4,17-Aug-25,21-Aug-25,On Time,1101,4,22-Jul-25,2,4,Client F
ORD0157,Delhi,West,Valsad,West,Procurement,UCI Procurement,Send PO to Supplier,4,11-Aug-25,15-Aug-25,On Time,481,4,13-Jul-25,2,4,Client I
ORD0160,Chandigarh,West,Valsad,West,Procurement,UCI Procurement,Send PO to Supplier,4,8-Jul-25,12-Jul-25,On Time,1257,4,13-Jun-25,2,4,Client F
ORD0185,Delhi,West,Mirzapur,West,Procurement,UCI Procurement,Send PO to Supplier,4,12-Sep-25,16-Sep-25,On Time,329,4,16-Aug-25,2,4,Client C
ORD0186,Ranchi,North,Valsad,West,Procurement,UCI Procurement,Send PO to Supplier,4,29-Jun-25,3-Jul-25,On Time,993,4,3-Jun-25,2,4,Client G
ORD0192,Delhi,South,Bhiwandi,West,Procurement,UCI Procurement,Send PO to Supplier,4,6-Aug-25,10-Aug-25,On Time,1329,4,7-Jul-25,2,4,Client G
ORD0195,Ranchi,West,Pune,West,Procurement,UCI Procurement,Send PO to Supplier,4,22-Jul-25,26-Jul-25,On Time,1357,4,24-Jun-25,2,4,Client I
ORD0199,Jaipur,West,Mirzapur,West,Procurement,UCI Procurement,Send PO to Supplier,4,26-Sep-25,30-Sep-25,On Time,845,4,27-Aug-25,2,4,Client J
ORD0232,Ranchi,East,Valsad,West,Procurement,UCI Procurement,Send PO to Supplier,4,6-Sep-25,10-Sep-25,On Time,703,4,8-Aug-25,2,4,Client J
ORD0241,Nagpur,West,Indore,West,Procurement,UCI Procurement,Send PO to Supplier,4,2-Jul-25,6-Jul-25,On Time,743,4,3-Jun-25,2,4,Client C
ORD0245,Delhi,North,Valsad,West,Procurement,UCI Procurement,Send PO to Supplier,4,19-Jul-25,23-Jul-25,On Time,834,4,19-Jun-25,2,4,Client D
ORD0252,Vishakhapatnam,South,Mirzapur,West,Procurement,UCI Procurement,Send PO to Supplier,4,31-Jul-25,4-Aug-25,On Time,1064,4,3-Jul-25,2,4,Client I
ORD0254,Jaipur,West,Pune,West,Procurement,UCI Procurement,Send PO to Supplier,4,4-Aug-25,8-Aug-25,On Time,653,4,9-Jul-25,2,4,Client E
ORD0255,Bhopal,South,Valsad,West,Procurement,UCI Procurement,Send PO to Supplier,4,19-Sep-25,23-Sep-25,On Time,1405,4,21-Aug-25,2,4,Client G
ORD0292,Surat,West,Indore,West,Procurement,UCI Procurement,Send PO to Supplier,4,29-Jul-25,2-Aug-25,On Time,514,4,25-Jun-25,2,4,Client G
ORD0310,Delhi,North,Bhiwandi,West,Procurement,UCI Procurement,Send PO to Supplier,4,1-Sep-25,5-Sep-25,On Time,1176,4,6-Aug-25,2,4,Client A
ORD0317,Chennai,North,Mirzapur,West,Procurement,UCI Procurement,Send PO to Supplier,4,15-Jul-25,19-Jul-25,On Time,762,4,22-Jun-25,2,4,Client F
ORD0333,Jaipur,East,Indore,West,Procurement,UCI Procurement,Send PO to Supplier,4,4-Jul-25,8-Jul-25,On Time,889,4,4-Jun-25,2,4,Client C
ORD0340,Kolkata,South,Pune,West,Procurement,UCI Procurement,Send PO to Supplier,4,25-Jul-25,29-Jul-25,On Time,1077,4,30-Jun-25,2,4,Client J
ORD0352,Chennai,South,Pune,West,Procurement,UCI Procurement,Send PO to Supplier,4,2-Aug-25,6-Aug-25,On Time,444,4,3-Jul-25,2,4,Client J
ORD0366,Mumbai,South,Indore,West,Procurement,UCI Procurement,Send PO to Supplier,4,24-Jul-25,28-Jul-25,On Time,1257,4,27-Jun-25,2,4,Client F
ORD0429,Bhopal,South,Bhiwandi,West,Procurement,UCI Procurement,Send PO to Supplier,4,21-Jul-25,25-Jul-25,On Time,1266,4,19-Jun-25,2,4,Client H
ORD0444,Bangalore,East,Bhiwandi,West,Procurement,UCI Procurement,Send PO to Supplier,4,3-Jul-25,7-Jul-25,On Time,1413,4,1-Jun-25,2,4,Client J
ORD0464,Bhopal,North,Bhiwandi,West,Procurement,UCI Procurement,Send PO to Supplier,4,25-Sep-25,29-Sep-25,On Time,1290,4,31-Aug-25,2,4,Client E
ORD0482,Bangalore,West,Indore,West,Procurement,UCI Procurement,Send PO to Supplier,4,7-Jul-25,11-Jul-25,On Time,741,4,10-Jun-25,2,4,Client I
