Date,Raw Material,Daily Consumption,Inventory Position,PO Number,PO Status,Expected Delivery Date,Vendor Name,Lead Time (Days),PO Creation Date
1-Jan-22,RM 4,9,897,,,,,,
2-Jan-22,RM 4,12,885,,,,,,
3-Jan-22,RM 4,17,868,,,,,,
4-Jan-22,RM 4,16,852,,,,,,
5-Jan-22,RM 4,6,846,,,,,,
6-Jan-22,RM 4,13,833,,,,,,
7-Jan-22,RM 4,4,829,,,,,,
8-Jan-22,RM 4,5,824,,,,,,
9-Jan-22,RM 4,0,824,,,,,,
10-Jan-22,RM 4,18,806,,,,,,
11-Jan-22,RM 4,14,792,,,,,,
12-Jan-22,RM 4,13,779,,,,,,
13-Jan-22,RM 4,17,762,,,,,,
14-Jan-22,RM 4,12,750,,,,,,
15-Jan-22,RM 4,1,749,,,,,,
16-Jan-22,RM 4,19,730,,,,,,
17-Jan-22,RM 4,15,715,,,,,,
18-Jan-22,RM 4,6,709,,,,,,
19-Jan-22,RM 4,17,692,,,,,,
20-Jan-22,RM 4,0,692,,,,,,
21-Jan-22,RM 4,1,691,,,,,,
22-Jan-22,RM 4,13,678,,,,,,
23-Jan-22,RM 4,6,672,,,,,,
24-Jan-22,RM 4,13,659,,,,,,
25-Jan-22,RM 4,12,647,,,,,,
26-Jan-22,RM 4,14,633,,,,,,
27-Jan-22,RM 4,3,630,,,,,,
28-Jan-22,RM 4,19,611,,,,,,
29-Jan-22,RM 4,20,591,,,,,,
30-Jan-22,RM 4,18,573,,,,,,
31-Jan-22,RM 4,29,544,,,,,,
1-Feb-22,RM 4,0,544,,,,,,
2-Feb-22,RM 4,11,533,,,,,,
3-Feb-22,RM 4,8,525,,,,,,
4-Feb-22,RM 4,21,504,,,,,,
5-Feb-22,RM 4,7,497,,,,,,
6-Feb-22,RM 4,10,487,,,,,,
7-Feb-22,RM 4,13,474,,,,,,
8-Feb-22,RM 4,22,452,,,,,,
9-Feb-22,RM 4,16,436,,,,,,
10-Feb-22,RM 4,12,424,,,,,,
11-Feb-22,RM 4,10,414,,,,,,
12-Feb-22,RM 4,10,404,,,,,,
13-Feb-22,RM 4,15,389,,,,,,
14-Feb-22,RM 4,8,381,,,,,,
15-Feb-22,RM 4,20,361,,,,,,
16-Feb-22,RM 4,4,357,,,,,,
17-Feb-22,RM 4,7,350,,,,,,
18-Feb-22,RM 4,11,339,,,,,,
19-Feb-22,RM 4,9,330,,,,,,
20-Feb-22,RM 4,19,311,,,,,,
3-Mar-22,RM 4,8,902,,,,,,
4-Mar-22,RM 4,10,892,,,,,,
5-Mar-22,RM 4,6,886,,,,,,
6-Mar-22,RM 4,13,873,,,,,,
7-Mar-22,RM 4,8,865,,,,,,
8-Mar-22,RM 4,6,859,,,,,,
9-Mar-22,RM 4,10,849,,,,,,
10-Mar-22,RM 4,12,837,,,,,,
