Market,City,Item Name,CFS,Delivery Date,Route,Container Type,Utilization (%),Planned Start Date,Planned Start Time,Actual Start Date,Actual Start Time,ETA Date,ETA Time,Actual Delivery Date,Actual Delivery Time,Delay (minutes),Deviation Status,Route Allocation,Mode of Transport,Total Delivery Time (hrs),Client Name,Vehicle ID,ETA DateTime,Route Deviation (%)
UP042020,KAUSHAMBI,Samrat Advanced,"Thiruvananthapuram, Tamil Nadu",2025-06-27,"Route: Thiruvananthapuram, Tamil Nadu Ã‚Â¢ KAUSHAMBI via NH-47",TEU,73.5,2025-06-01,22:52:00,2025-06-02,00:11:00,2025-06-02,23:52:00,2025-06-03,00:15:00,00:23:00,Delay,NH-47,road,24.0666666666666,Nestle India,VEH0293,2025-06-02 23:52:00,2.4
RJ015104,Hanumangarh,Perfect Plus,"Jabalpur, Telangana",2025-06-17,"Route: Jabalpur, Telangana Ã‚Â¢ Hanumangarh via NH-49",FEU,93.0,2025-06-01,23:49:00,2025-06-02,00:39:00,2025-06-03,23:49:00,2025-06-04,00:21:00,00:32:00,Delay,NH-49,road,47.7,Flipkart,VEH0292,2025-06-03 23:49:00,1.69
MH013001,Jalgaon,Perfect Plus,"Udaipur, Bihar",2025-06-28,"Route: Udaipur, Bihar Ã‚Â¢ Jalgaon via NH-52",TEU,86.0,2025-06-01,22:47:00,2025-06-02,00:15:00,2025-06-02,23:47:00,2025-06-02,23:47:00,00:00:00,On time,NH-52,road,23.5333333333333,DMart,VEH0223,2025-06-02 23:47:00,0.0
UP063015,Sant Ravidas Nagar,Perfect Plus,"Udaipur, Bihar",2025-06-05,"Route: Udaipur, Bihar Ã‚Â¢ Sant Ravidas Nagar via NH-52",TEU,63.0,2025-06-01,22:57:00,2025-06-02,00:25:00,2025-06-02,23:57:00,2025-06-03,00:57:00,01:00:00,Delay,NH-52,road,24.5333333333333,Godrej Agrovet,VEH0240,2025-06-02 23:57:00,6.15
UP006062,Azamgarh,Perfect Plus,"Nagpur, Telangana",2025-06-16,"Route: Nagpur, Telangana Ã‚Â¢ Azamgarh via NH-54",TEU,98.0,2025-06-02,00:39:00,2025-06-02,00:18:00,2025-06-02,23:39:00,2025-06-03,00:15:00,00:36:00,Delay,NH-54,road,23.95,Amazon India,VEH0277,2025-06-02 23:39:00,3.78
UP071100,VARANASI,Perfect Plus,"Kanpur, Uttar Pradesh",2025-06-01,"Route: Kanpur, Uttar Pradesh Ã‚Â¢ VARANASI via NH-56",FEU,73.0,2025-06-02,00:16:00,2025-06-02,00:06:00,2025-06-02,23:16:00,2025-06-02,23:59:00,00:43:00,Delay,NH-56,road,23.8833333333333,BigBasket,VEH0243,2025-06-02 23:16:00,4.52
UP046008,LUCKNOW,Samrat,"Pune, Rajasthan",2025-06-13,"Route: Pune, Rajasthan Ã‚Â¢ LUCKNOW via NH-58",TEU,79.5,2025-06-01,23:04:00,2025-06-01,23:16:00,2025-06-03,00:04:00,2025-06-03,00:04:00,00:00:00,On time,NH-58,road,24.8,DMart,VEH0250,2025-06-03 00:04:00,0.0
MP030003,NARSINGHPUR,Perfect Plus,"Hyderabad, Punjab",2025-06-01,"Route: Hyderabad, Punjab Ã‚Â¢ NARSINGHPUR via NH-62",FEU,81.0,2025-06-01,23:16:00,2025-06-01,23:49:00,2025-06-03,00:16:00,2025-06-03,00:55:00,00:39:00,Delay,NH-62,road,25.1,Amazon India,VEH0299,2025-06-03 00:16:00,3.9
RJ004012,Baran,Perfect Plus,"Jodhpur, Punjab",2025-06-05,"Route: Jodhpur, Punjab Ã‚Â¢ Baran via NH-64",FEU,82.5,2025-06-01,22:11:00,2025-06-01,23:16:00,2025-06-03,00:11:00,2025-06-03,00:11:00,00:00:00,On time,NH-64,road,24.9166666666666,Reliance Retail,VEH0227,2025-06-03 00:11:00,0.0
GJ019001,Rajkot,Perfect Plus,"Jodhpur, Jharkhand",2025-06-04,"Route: Jodhpur, Jharkhand Ã‚Â¢ Rajkot via NH-65",FEU,66.0,2025-06-02,00:15:00,2025-06-01,23:51:00,2025-06-04,00:15:00,2025-06-04,00:56:00,00:41:00,Delay,NH-65,road,49.0833333333333,DMart,VEH0210,2025-06-04 00:15:00,2.09
