Month,Depot,SKU,Product,Forecast,Accuracy
01-06-2025,Depot A,10101-WH,EWD,22478,76.76
01-06-2025,Depot A,10302-WH,EWD,559,83.83
01-06-2025,Depot A,10311-WH,EWD,289,84.6
01-06-2025,Depot A,10312-WH,EWD,265,76.52
01-06-2025,Depot A,10607-WH-I,EWD,2251,76.49
01-06-2025,Depot A,10608-WH-I,EWD,206,79.04
01-06-2025,Depot A,10711-WH,EWD,2204,77.54
01-06-2025,Depot A,10723-WH,EWD,204,78.81
01-06-2025,Depot A,10724-WH,EWD,848,76.09
01-06-2025,Depot A,10731-WH,EWD,367,80.73
01-06-2025,Depot A,10739-WH,EWD,275,75.1
01-06-2025,Depot A,10741-WH,EWD,454,81.59
01-06-2025,Depot A,10742-WH,EWD,546,83.82
01-06-2025,Depot A,10743-WH,EWD,328,76.35
01-06-2025,Depot A,10801-WH,EWD,26,78.54
01-06-2025,Depot A,20101-WH,EWD,4113,77.73
01-06-2025,Depot A,20102-WH,EWD,273,78.55
01-06-2025,Depot A,20121-WH,EWD,1182,84.51
01-06-2025,Depot A,20123-WH,EWD,165,80.85
01-06-2025,Depot A,20131-WH,EWD,458,84.71
01-06-2025,Depot A,20144-WH,EWD,472,76.66
01-06-2025,Depot A,20151-R,EWD,232,83.31
01-06-2025,Depot A,20228-WH,EWD,49,82.9
01-06-2025,Depot A,20242-WH-I,EWD,1031,80.42
01-06-2025,Depot A,20251-WH,EWD,76,77.76
01-06-2025,Depot A,20602-WH,EWD,408,80.17
01-06-2025,Depot A,20602-WHC,EWD,532,84.02
01-06-2025,Depot A,20603-WH,EWD,332,75.98
01-06-2025,Depot A,20603-WHC,EWD,442,82.11
01-06-2025,Depot A,20604-WH,EWD,209,81.31
01-06-2025,Depot A,20604-WHC,EWD,100,76.65
01-06-2025,Depot A,20606-WH,EWD,310,78.82
01-06-2025,Depot A,20606-WHC,EWD,409,78.41
01-06-2025,Depot A,20607-WH,EWD,233,80.62
01-06-2025,Depot A,20608-WH,EWD,61,76.6
01-06-2025,Depot A,20608-WHC,EWD,140,81.92
01-06-2025,Depot A,20612-WH,EWD,381,83.82
01-06-2025,Depot A,20612-WHC,EWD,162,77.45
01-06-2025,Depot A,20616-WH,EWD,71,83.12
01-06-2025,Depot A,20618-WH,EWD,7,82.71
01-06-2025,Depot A,20701-WH,EWD,1571,76.44
01-06-2025,Depot A,20703-WH,EWD,170,83.41
01-06-2025,Depot A,20704-WH,EWD,246,82.36
01-06-2025,Depot A,20706-WH,EWD,660,78.16
01-06-2025,Depot A,20707-WH,EWD,94,75.46
01-06-2025,Depot A,20708-WH,EWD,366,77.67
01-06-2025,Depot A,20712-WH,EWD,248,80.75
01-06-2025,Depot A,20716-WH,EWD,28,80.95
01-06-2025,Depot A,20718-WH,EWD,16,84.75
01-06-2025,Depot A,20801-WH,EWD,226,79.43
01-06-2025,Depot A,20803-WH,EWD,194,76.44
01-06-2025,Depot A,20804-WH,EWD,119,78.75
01-06-2025,Depot A,20806-WH,EWD,98,81.42
01-06-2025,Depot A,20807-WH,EWD,56,78.16
01-06-2025,Depot A,20808-WH,EWD,28,78.1
01-06-2025,Depot A,20812-WH,EWD,123,79.22
01-06-2025,Depot A,20816-WH,EWD,4,84.64
01-06-2025,Depot A,20818-WH,EWD,6,83.68
01-06-2025,Depot A,50101-BK,EWD,157,81.7
01-06-2025,Depot A,50242-BK-I,EWD,170,79.64
01-06-2025,Depot B,10101-WH,EWD,1148,81.72
01-06-2025,Depot B,10302-WH,EWD,10,76.05
01-06-2025,Depot B,10312-WH,EWD,118,76.52
01-06-2025,Depot B,10603-WH-I,EWD,35,77.1
01-06-2025,Depot B,10606-WH-I,EWD,26,84.01
01-06-2025,Depot B,10607-WH-I,EWD,112,80.9
01-06-2025,Depot B,10608-WH-I,EWD,45,75.11
01-06-2025,Depot B,10711-WH,EWD,423,82.65
01-06-2025,Depot B,10722-WH,EWD,32,84.56
01-06-2025,Depot B,10723-WH,EWD,2024,84.81
01-06-2025,Depot B,10724-WH,EWD,3955,84.32
01-06-2025,Depot B,10731-WH,EWD,59,79.31
01-06-2025,Depot B,10739-WH,EWD,46,75.52
01-06-2025,Depot B,10743-WH,EWD,133,77.66
01-06-2025,Depot B,10801-WH,EWD,165,83.46
01-06-2025,Depot B,20101-WH,EWD,10479,77.18
01-06-2025,Depot B,20102-WH,EWD,288,84.87
01-06-2025,Depot B,20103-WH,EWD,41,84.61
01-06-2025,Depot B,20112-WH,EWD,19,77.48
01-06-2025,Depot B,20121-WH,EWD,143,79.83
01-06-2025,Depot B,20123-WH,EWD,1006,82.65
01-06-2025,Depot B,20131-WH,EWD,100,82.94
01-06-2025,Depot B,20142-WH,EWD,27,82.94
01-06-2025,Depot B,20144-WH,EWD,908,85.0
01-06-2025,Depot B,20149-WH,EWD,58,81.21
01-06-2025,Depot B,20151-R,EWD,42,75.88
01-06-2025,Depot B,20212-WH,EWD,15,84.58
01-06-2025,Depot B,20225-WH,EWD,398,79.23
