Customer,Product,Month,Year,Date,Sales,Financial Year
Customer 1,Product 1,April,2021,2021-01-04,,2022-2023
Customer 1,Product 1,May,2021,2021-01-05,122683.0,2022-2023
Customer 1,Product 1,June,2021,2021-01-06,,2022-2023
Customer 1,Product 1,July,2021,2021-01-07,123234.0,2022-2023
Customer 1,Product 1,August,2021,2021-01-08,,2022-2023
Customer 1,Product 1,September,2021,2021-01-09,,2022-2023
Customer 1,Product 1,October,2021,2021-01-10,,2022-2023
Customer 1,Product 1,November,2021,2021-01-11,,2022-2023
Customer 1,Product 1,December,2021,2021-01-12,,2022-2023
Customer 1,Product 1,January,2022,2022-01-01,,2022-2023
Customer 1,Product 1,February,2022,2022-01-02,,2022-2023
Customer 1,Product 1,March,2022,2022-01-03,126997.0,2022-2023
Customer 1,Product 1,April,2022,2022-01-04,2297588.0,2023-2024
Customer 1,Product 1,May,2022,2022-01-05,2297701.0,2023-2024
Customer 1,Product 1,June,2022,2022-01-06,2299521.0,2023-2024
Customer 1,Product 1,July,2022,2022-01-07,2302928.0,2023-2024
Customer 1,Product 1,August,2022,2022-01-08,,2023-2024
Customer 1,Product 1,September,2022,2022-01-09,2314851.0,2023-2024
Customer 1,Product 1,October,2022,2022-01-10,2320266.0,2023-2024
Customer 1,Product 1,November,2022,2022-01-11,,2023-2024
Customer 1,Product 1,December,2022,2022-01-12,,2023-2024
Customer 1,Product 1,January,2023,2023-01-01,2321861.0,2023-2024
Customer 1,Product 1,February,2023,2023-01-02,,2023-2024
Customer 1,Product 1,March,2023,2023-01-03,2325012.0,2023-2024
Customer 1,Product 1,April,2023,2023-01-04,4243789.0,2024-2025
Customer 1,Product 1,May,2023,2023-01-05,4251025.0,2024-2025
Customer 1,Product 1,June,2023,2023-01-06,,2024-2025
Customer 1,Product 1,July,2023,2023-01-07,4254041.0,2024-2025
Customer 1,Product 1,August,2023,2023-01-08,4258696.0,2024-2025
Customer 1,Product 1,September,2023,2023-01-09,4260931.0,2024-2025
Customer 1,Product 1,October,2023,2023-01-10,4268987.0,2024-2025
Customer 1,Product 1,November,2023,2023-01-11,4270162.0,2024-2025
Customer 1,Product 1,December,2023,2023-01-12,,2024-2025
Customer 1,Product 1,January,2024,2024-01-01,4272646.0,2024-2025
Customer 1,Product 1,February,2024,2024-01-02,4276421.0,2024-2025
Customer 1,Product 1,March,2024,2024-01-03,4277103.0,2024-2025
Customer 1,Product 10,April,2021,2021-01-04,4278144.0,2022-2023
Customer 1,Product 10,May,2021,2021-01-05,4287262.0,2022-2023
Customer 1,Product 10,June,2021,2021-01-06,,2022-2023
Customer 1,Product 10,July,2021,2021-01-07,4292362.0,2022-2023
Customer 1,Product 10,August,2021,2021-01-08,,2022-2023
Customer 1,Product 10,September,2021,2021-01-09,4304549.0,2022-2023
Customer 1,Product 10,October,2021,2021-01-10,4305691.0,2022-2023
Customer 1,Product 10,November,2021,2021-01-11,4314838.0,2022-2023
Customer 1,Product 10,December,2021,2021-01-12,4317401.0,2022-2023
Customer 1,Product 10,January,2022,2022-01-01,4319573.0,2022-2023
