Container ID,Date of Arrival,Size,Gate-In Time,Gate-Out Time,Days in Yard,Yard Location,Importer Name,Cargo Type
CNT100000,6/7/2024,TEU,6/7/2024 19:00,03:11.6,5,Yard C,Importer 4,Reeler_Hazardous
CNT100001,6/20/2024,FEU,6/20/2024 22:00,59:04.3,6,Yard B,Importer 4,Tank
CNT100002,6/29/2024,FEU,6/29/2024 7:00,16:43.7,11,Yard A,Importer 8,Hazardous
CNT100003,6/15/2024,TEU,6/15/2024 20:00,17:24.9,7,Yard A,Importer 4,Reeler_Hazardous
CNT100004,6/11/2024,FEU,6/11/2024 9:00,23:59.9,5,Yard C,Importer 10,Tank
CNT100005,6/8/2024,TEU,6/8/2024 16:00,40:14.3,5,Yard A,Importer 1,Reeler_Hazardous
CNT100006,6/29/2024,TEU,6/29/2024 8:00,55:52.5,6,Yard B,Importer 5,Tank
CNT100007,6/21/2024,TEU,6/21/2024 12:00,14:13.4,6,Yard C,Importer 1,Tank
CNT100008,6/7/2024,FEU,6/7/2024 7:00,16:46.6,14,Yard B,Importer 1,Hazardous
CNT100009,6/26/2024,TEU,6/26/2024 16:00,00:54.5,2,Yard B,Importer 2,Tank_Hazardous
CNT100010,6/19/2024,TEU,6/19/2024 15:00,37:15.1,2,Yard A,Importer 8,General
CNT100011,6/23/2024,TEU,6/23/2024 15:00,51:45.0,2,Yard B,Importer 8,Tank_Hazardous
CNT100012,6/11/2024,TEU,6/11/2024 20:00,38:46.2,13,Yard C,Importer 8,Hazardous
CNT100013,6/11/2024,FEU,6/11/2024 7:00,25:59.9,2,Yard C,Importer 2,Tank_Hazardous
CNT100014,6/24/2024,TEU,6/24/2024 9:00,54:56.8,5,Yard B,Importer 3,Tank
CNT100015,6/21/2024,TEU,6/21/2024 11:00,13:31.2,13,Yard B,Importer 10,Hazardous
CNT100016,6/4/2024,FEU,6/4/2024 17:00,12:44.7,2,Yard C,Importer 3,Tank_Hazardous
CNT100017,6/8/2024,FEU,6/8/2024 22:00,22:04.2,11,Yard A,Importer 4,Reeler
CNT100018,6/24/2024,FEU,6/24/2024 8:00,40:49.4,7,Yard A,Importer 2,Tank
CNT100019,6/3/2024,TEU,6/3/2024 22:00,01:36.1,15,Yard A,Importer 1,Reeler
CNT100020,6/22/2024,TEU,6/22/2024 3:00,53:42.1,9,Yard B,Importer 7,Hazardous
CNT100021,6/21/2024,TEU,6/21/2024 4:00,03:43.9,5,Yard B,Importer 8,Reeler_Hazardous
CNT100022,6/2/2024,TEU,6/2/2024 22:00,32:09.5,4,Yard C,Importer 10,Tank
CNT100023,6/24/2024,FEU,6/24/2024 15:00,52:28.9,1,Yard C,Importer 9,General
CNT100024,6/12/2024,TEU,6/12/2024 0:00,06:18.1,4,Yard C,Importer 4,Reeler_Hazardous
CNT100025,6/30/2024,TEU,6/30/2024 17:00,54:39.7,2,Yard C,Importer 1,Tank_Hazardous
CNT100026,6/6/2024,TEU,6/6/2024 17:00,24:20.6,7,Yard A,Importer 5,Reeler
CNT100027,6/2/2024,TEU,6/2/2024 18:00,49:04.9,7,Yard B,Importer 5,Tank
CNT100028,6/28/2024,FEU,6/28/2024 8:00,34:46.9,2,Yard B,Importer 2,General
CNT100029,6/21/2024,TEU,6/21/2024 0:00,47:32.2,1,Yard A,Importer 5,General
CNT100030,6/1/2024,TEU,6/1/2024 2:00,35:16.1,10,Yard C,Importer 5,Reeler
CNT100031,6/12/2024,TEU,6/12/2024 1:00,40:55.6,6,Yard C,Importer 9,Tank
CNT100032,6/26/2024,TEU,6/26/2024 1:00,14:42.3,9,Yard B,Importer 4,Reeler
CNT100033,6/22/2024,TEU,6/22/2024 16:00,43:21.7,1,Yard C,Importer 1,General
CNT100034,6/29/2024,FEU,6/29/2024 5:00,29:06.6,7,Yard B,Importer 7,Reeler
CNT100035,6/12/2024,TEU,6/12/2024 4:00,59:06.9,2,Yard A,Importer 5,General
CNT100036,6/25/2024,FEU,6/25/2024 20:00,00:39.7,7,Yard B,Importer 9,Reeler
CNT100037,6/17/2024,FEU,6/17/2024 10:00,34:55.0,2,Yard A,Importer 3,Tank_Hazardous
CNT100038,6/27/2024,FEU,6/27/2024 8:00,38:19.6,9,Yard C,Importer 4,Reeler
CNT100039,6/27/2024,FEU,6/27/2024 21:00,22:03.4,4,Yard B,Importer 2,Reeler_Hazardous
CNT100040,6/10/2024,TEU,6/10/2024 3:00,14:50.3,8,Yard C,Importer 6,Reeler
CNT100041,6/28/2024,TEU,6/28/2024 6:00,27:55.7,4,Yard C,Importer 3,Reeler_Hazardous
CNT100042,6/28/2024,TEU,6/28/2024 12:00,02:01.1,14,Yard C,Importer 6,Hazardous
CNT100043,6/16/2024,FEU,6/16/2024 15:00,45:05.3,4,Yard B,Importer 2,Reeler_Hazardous
CNT100044,6/15/2024,FEU,6/15/2024 19:00,56:05.5,1,Yard C,Importer 7,General
CNT100045,6/30/2024,FEU,6/30/2024 16:00,34:25.4,10,Yard B,Importer 9,Hazardous
CNT100046,6/30/2024,TEU,6/30/2024 19:00,38:47.8,6,Yard C,Importer 8,Tank
CNT100047,6/15/2024,FEU,6/15/2024 1:00,03:08.3,14,Yard A,Importer 2,Reeler
CNT100048,6/30/2024,TEU,6/30/2024 4:00,00:50.1,4,Yard B,Importer 2,Reeler_Hazardous
CNT100049,6/19/2024,TEU,6/19/2024 17:00,31:39.1,5,Yard A,Importer 1,Tank
CNT100050,6/12/2024,TEU,6/12/2024 12:00,48:16.9,6,Yard A,Importer 6,Reeler
CNT100051,6/23/2024,TEU,6/23/2024 17:00,17:17.3,2,Yard B,Importer 5,Tank_Hazardous
CNT100052,6/20/2024,TEU,6/20/2024 10:00,42:26.1,4,Yard B,Importer 2,Reeler_Hazardous
CNT100053,6/25/2024,TEU,6/25/2024 13:00,57:44.7,6,Yard B,Importer 3,Tank
CNT100054,6/3/2024,TEU,6/3/2024 11:00,43:54.9,4,Yard C,Importer 9,Tank
CNT100055,6/5/2024,FEU,6/5/2024 3:00,06:29.8,14,Yard C,Importer 8,Reeler
CNT100056,6/19/2024,FEU,6/19/2024 6:00,29:34.6,5,Yard A,Importer 8,Tank
CNT100057,6/7/2024,FEU,6/7/2024 12:00,19:03.4,2,Yard B,Importer 2,General
CNT100058,6/21/2024,TEU,6/21/2024 18:00,30:39.8,1,Yard A,Importer 4,Reeler_Hazardous
CNT100059,6/9/2024,FEU,6/9/2024 10:00,24:33.3,1,Yard C,Importer 9,General
CNT100060,6/7/2024,FEU,6/7/2024 6:00,25:22.7,8,Yard A,Importer 10,Reeler_Hazardous
CNT100061,6/18/2024,TEU,6/18/2024 14:00,08:23.8,3,Yard A,Importer 8,Reeler_Hazardous
CNT100062,6/4/2024,TEU,6/4/2024 18:00,10:49.1,5,Yard B,Importer 10,Tank
CNT100063,6/25/2024,TEU,6/25/2024 19:00,39:43.8,14,Yard B,Importer 4,Hazardous
CNT100064,6/28/2024,TEU,6/28/2024 16:00,24:00.7,9,Yard A,Importer 7,Reeler
CNT100065,6/14/2024,FEU,6/14/2024 22:00,12:56.7,6,Yard C,Importer 8,Tank
CNT100066,6/18/2024,FEU,6/18/2024 0:00,40:42.4,9,Yard A,Importer 8,Reeler
CNT100067,6/26/2024,TEU,6/26/2024 11:00,23:48.7,10,Yard C,Importer 7,Hazardous
CNT100068,6/9/2024,FEU,6/9/2024 18:00,30:43.8,2,Yard A,Importer 6,Tank_Hazardous
CNT100069,6/26/2024,FEU,6/26/2024 4:00,09:44.9,5,Yard A,Importer 2,Tank
CNT100070,6/21/2024,FEU,6/21/2024 9:00,04:33.2,7,Yard B,Importer 8,Tank
CNT100071,6/2/2024,TEU,6/2/2024 10:00,48:20.9,6,Yard A,Importer 2,Tank
CNT100072,6/20/2024,FEU,6/20/2024 15:00,49:36.2,13,Yard C,Importer 3,Hazardous
CNT100073,6/28/2024,TEU,6/28/2024 17:00,45:51.5,10,Yard A,Importer 3,Reeler
CNT100074,6/15/2024,TEU,6/15/2024 8:00,48:16.9,7,Yard A,Importer 2,Tank
CNT100075,6/28/2024,TEU,6/28/2024 21:00,37:06.6,2,Yard C,Importer 9,Tank_Hazardous
CNT100076,6/7/2024,TEU,6/7/2024 8:00,11:22.2,6,Yard A,Importer 7,Reeler
CNT100077,6/12/2024,FEU,6/12/2024 13:00,42:03.9,2,Yard A,Importer 9,Tank_Hazardous
CNT100078,6/29/2024,TEU,6/29/2024 19:00,45:55.7,1,Yard A,Importer 2,Reeler_Hazardous
