Month,SKU,Demand,Opening Stock,Turnover Ratio,Inventory Days,Availability,No Stock,Low,Adequate,Excess,Bucket,nMonth,sMonth,nYear,MonthYear,Jan,Feb,Mar,Apr,May,Jun,MonthSold,Produt
May-25,sku 1,0,0,,0,1,No Stock,,,,No Stock,May,May,2025,May-25,1,1,1,1,0,1,5,Product 1
May-25,sku 2,0,0,,0,1,No Stock,,,,No Stock,May,May,2025,May-25,1,1,1,1,0,1,5,Product 1
May-25,sku 3,0,0,,0,1,No Stock,,,,No Stock,May,May,2025,May-25,1,1,1,1,0,1,5,Product 1
May-25,sku 4,0,0,,0,1,No Stock,,,,No Stock,May,May,2025,May-25,1,1,1,1,0,1,5,Product 1
May-25,sku 5,0,0,,0,1,No Stock,,,,No Stock,May,May,2025,May-25,1,1,1,1,0,1,5,Product 1
May-25,sku 6,0,0,,0,1,No Stock,,,,No Stock,May,May,2025,May-25,1,1,1,1,0,1,5,Product 1
May-25,sku 7,0,0,,0,1,No Stock,,,,No Stock,May,May,2025,May-25,1,1,1,1,0,1,5,Product 1
May-25,sku 8,0,0,,0,1,No Stock,,,,No Stock,May,May,2025,May-25,1,1,1,1,0,1,5,Product 1
May-25,sku 9,0,0,,0,1,No Stock,,,,No Stock,May,May,2025,May-25,1,1,1,1,0,1,5,Product 1
May-25,sku 10,0,0,,0,1,No Stock,,,,No Stock,May,May,2025,May-25,1,1,1,1,0,1,5,Product 1
May-25,sku 11,0,0,,0,1,No Stock,,,,No Stock,May,May,2025,May-25,1,1,1,1,0,1,5,Product 1
May-25,sku 12,0,0,,0,1,No Stock,,,,No Stock,May,May,2025,May-25,1,1,1,1,0,1,5,Product 1
May-25,sku 13,0,0,,0,1,No Stock,,,,No Stock,May,May,2025,May-25,1,1,1,1,0,1,5,Product 1
May-25,sku 14,0,0,,0,1,No Stock,,,,No Stock,May,May,2025,May-25,1,1,1,1,0,1,5,Product 1
May-25,sku 15,0,0,,0,1,No Stock,,,,No Stock,May,May,2025,May-25,1,1,1,1,0,1,5,Product 1
May-25,sku 16,0,0,,0,1,No Stock,,,,No Stock,May,May,2025,May-25,1,1,1,1,0,1,5,Product 1
May-25,sku 17,0,0,,0,1,No Stock,,,,No Stock,May,May,2025,May-25,1,1,1,1,0,1,5,Product 1
May-25,sku 18,0,0,,0,1,No Stock,,,,No Stock,May,May,2025,May-25,1,1,1,1,0,1,5,Product 1
May-25,sku 19,0,0,,0,1,No Stock,,,,No Stock,May,May,2025,May-25,1,1,1,1,0,1,5,Product 1
May-25,sku 20,0,0,,0,1,No Stock,,,,No Stock,May,May,2025,May-25,1,1,1,1,0,1,5,Product 1
