Customer,Product,Month,Year,Date,Sales,Financial Year
Customer 1,Product 1,April,2021,01-04-2021,,2021-2022
Customer 1,Product 1,May,2021,01-05-2021,,2021-2022
Customer 1,Product 1,June,2021,01-06-2021,,2021-2022
Customer 1,Product 1,July,2021,01-07-2021,,2021-2022
Customer 1,Product 1,August,2021,01-08-2021,,2021-2022
Customer 1,Product 1,September,2021,01-09-2021,,2021-2022
Customer 1,Product 1,October,2021,01-10-2021,,2021-2022
Customer 1,Product 1,November,2021,01-11-2021,,2021-2022
Customer 1,Product 1,December,2021,01-12-2021,,2021-2022
Customer 1,Product 1,January,2022,01-01-2022,2846074,2021-2022
Customer 1,Product 1,February,2022,01-02-2022,1962399,2021-2022
Customer 1,Product 1,March,2022,01-03-2022,4690614,2021-2022
Customer 1,Product 1,April,2022,01-04-2022,3598187,2022-2023
Customer 1,Product 1,May,2022,01-05-2022,5878196,2022-2023
Customer 1,Product 1,June,2022,01-06-2022,869573,2022-2023
Customer 1,Product 1,July,2022,01-07-2022,9746509,2022-2023
Customer 1,Product 1,August,2022,01-08-2022,9863486,2022-2023
Customer 1,Product 1,September,2022,01-09-2022,7011801,2022-2023
Customer 1,Product 1,October,2022,01-10-2022,5407354,2022-2023
Customer 1,Product 1,November,2022,01-11-2022,3164323,2022-2023
Customer 1,Product 1,December,2022,01-12-2022,8156571,2022-2023
Customer 1,Product 1,January,2023,01-01-2023,6878839,2022-2023
Customer 1,Product 1,February,2023,01-02-2023,1709908,2022-2023
Customer 1,Product 1,March,2023,01-03-2023,9118179,2022-2023
Customer 1,Product 1,April,2023,01-04-2023,8243119,2023-2024
Customer 1,Product 1,May,2023,01-05-2023,9503019,2023-2024
Customer 1,Product 1,June,2023,01-06-2023,7284623,2023-2024
Customer 1,Product 1,July,2023,01-07-2023,6172810,2023-2024
Customer 1,Product 1,August,2023,01-08-2023,4240606,2023-2024
Customer 1,Product 1,September,2023,01-09-2023,9334012,2023-2024
Customer 1,Product 1,October,2023,01-10-2023,8674033,2023-2024
Customer 1,Product 1,November,2023,01-11-2023,547665,2023-2024
Customer 1,Product 1,December,2023,01-12-2023,361033,2023-2024
Customer 1,Product 1,January,2024,01-01-2024,3826987,2023-2024
Customer 1,Product 1,February,2024,01-02-2024,8124478,2023-2024
Customer 1,Product 1,March,2024,01-03-2024,9874034,2023-2024
Customer 1,Product 1,April,2024,01-04-2024,1589127,2024-2025
Customer 1,Product 1,May,2024,01-05-2024,5981894,2024-2025
Customer 1,Product 1,June,2024,01-06-2024,3870819,2024-2025
Customer 1,Product 1,July,2024,01-07-2024,9702153,2024-2025
Customer 1,Product 1,August,2024,01-08-2024,8436977,2024-2025
Customer 1,Product 1,September,2024,01-09-2024,8399454,2024-2025
Customer 1,Product 1,October,2024,01-10-2024,4740062,2024-2025
Customer 1,Product 1,November,2024,01-11-2024,4206713,2024-2025
Customer 1,Product 1,December,2024,01-12-2024,2806730,2024-2025
Customer 1,Product 1,January,2025,01-01-2025,658117,2024-2025
Customer 1,Product 1,February,2025,01-02-2025,8660752,2024-2025
Customer 1,Product 1,March,2025,01-03-2025,8147720,2024-2025
Customer 1,Product 10,April,2021,01-04-2021,5125314,2021-2022
Customer 1,Product 10,May,2021,01-05-2021,9847168,2021-2022
Customer 1,Product 10,June,2021,01-06-2021,7789673,2021-2022
Customer 1,Product 10,July,2021,01-07-2021,2924647,2021-2022
Customer 1,Product 10,August,2021,01-08-2021,750946,2021-2022
Customer 1,Product 10,September,2021,01-09-2021,8457788,2021-2022
Customer 1,Product 10,October,2021,01-10-2021,1688804,2021-2022
Customer 1,Product 10,November,2021,01-11-2021,3396756,2021-2022
Customer 1,Product 10,December,2021,01-12-2021,1478702,2021-2022
Customer 1,Product 10,January,2022,01-01-2022,4398296,2021-2022
Customer 1,Product 10,February,2022,01-02-2022,1993006,2021-2022
Customer 1,Product 10,March,2022,01-03-2022,2653512,2021-2022
Customer 1,Product 10,April,2022,01-04-2022,6008395,2022-2023
Customer 1,Product 10,May,2022,01-05-2022,8732943,2022-2023
Customer 1,Product 10,June,2022,01-06-2022,8630800,2022-2023
Customer 1,Product 10,July,2022,01-07-2022,8723244,2022-2023
Customer 1,Product 10,August,2022,01-08-2022,8296222,2022-2023
Customer 1,Product 10,September,2022,01-09-2022,6374831,2022-2023
Customer 1,Product 10,October,2022,01-10-2022,5068782,2022-2023
Customer 1,Product 10,November,2022,01-11-2022,6072137,2022-2023
Customer 1,Product 10,December,2022,01-12-2022,9916474,2022-2023
Customer 1,Product 10,January,2023,01-01-2023,3514801,2022-2023
Customer 1,Product 10,February,2023,01-02-2023,5315622,2022-2023
Customer 1,Product 10,March,2023,01-03-2023,8720456,2022-2023
Customer 1,Product 10,April,2023,01-04-2023,3815633,2023-2024
Customer 1,Product 10,May,2023,01-05-2023,3359669,2023-2024
Customer 1,Product 10,June,2023,01-06-2023,8598995,2023-2024
