Order ID,Order State,Region (Order),Inventory Location,Region (Inventory),Process,Responsible Person,Subprocess,Target Cycle Time,Sub Actual Start Date,Sub Actual End Date,Status Type,Quantity,Actual Cycle Time,Order Start Date,Process Sequence,Subprocess Sequence,Client Name
ORD0001,Ahmedabad,West,Indore,West,Invoice,UCI Planner,Verify Invoice Details,4,7/22/2025,7/26/2025,On Time,654,4,7/22/2025,1,1,Client D
ORD0001,Ahmedabad,West,Indore,West,Invoice,UCI Planner,Authorize Payment,3,7/26/2025,7/29/2025,On Time,654,3,7/22/2025,1,2,Client D
ORD0001,Ahmedabad,West,Indore,West,Invoice,UCI Planner,Validate Tax and Charges,5,7/29/2025,8/4/2025,Delay,654,6,7/22/2025,1,3,Client D
ORD0001,Ahmedabad,West,Indore,West,Invoice,UCI Planner,Update Accounts Payable,4,8/4/2025,8/9/2025,Delay,654,5,7/22/2025,1,4,Client D
ORD0001,Ahmedabad,West,Indore,West,Procurement,UCI Procurement,Submit New Request,3,8/9/2025,8/13/2025,Delay,654,4,7/22/2025,2,1,Client D
ORD0001,Ahmedabad,West,Indore,West,Procurement,UCI Procurement,Review Request,3,8/13/2025,8/16/2025,On Time,654,3,7/22/2025,2,2,Client D
ORD0001,Ahmedabad,West,Indore,West,Procurement,UCI Procurement,Prepare PO,5,8/16/2025,8/21/2025,On Time,654,5,7/22/2025,2,3,Client D
ORD0001,Ahmedabad,West,Indore,West,Procurement,UCI Procurement,Send PO to Supplier,4,8/21/2025,8/26/2025,Delay,654,5,7/22/2025,2,4,Client D
ORD0001,Ahmedabad,West,Indore,West,Procurement,UCI Procurement,Receive Raw Material,4,8/26/2025,8/29/2025,On Time,654,3,7/22/2025,2,5,Client D
ORD0001,Ahmedabad,West,Indore,West,Procurement,UCI Procurement,Quality Check,5,8/29/2025,9/3/2025,On Time,654,5,7/22/2025,2,6,Client D
ORD0001,Ahmedabad,West,Indore,West,Procurement,UCI Procurement,Receive Raw Material in Store,5,9/3/2025,9/7/2025,On Time,654,4,7/22/2025,2,7,Client D
ORD0001,Ahmedabad,West,Indore,West,Production,UCI Production,Initiate Production,3,9/7/2025,9/9/2025,On Time,654,2,7/22/2025,3,1,Client D
ORD0001,Ahmedabad,West,Indore,West,Production,UCI Production,Issue Raw Material,3,9/9/2025,9/12/2025,On Time,654,3,7/22/2025,3,2,Client D
ORD0001,Ahmedabad,West,Indore,West,Production,UCI Production,Complete Production,5,9/12/2025,9/17/2025,On Time,654,5,7/22/2025,3,3,Client D
ORD0001,Ahmedabad,West,Indore,West,Dispatch,UCI Approvers,Verify Shipping Details,4,9/17/2025,9/19/2025,On Time,654,2,7/22/2025,4,1,Client D
