SKU,Machine,Target Qty,Actual Qty,Average Availability (%),Average Performance (%),Average Quality (%),Average OEE (%),Order Date,Avg Cycle Time (sec),Utilization (%),Bucketing,Planned Capacity (hrs),Used Capacity (hrs),Capacity Left (hrs),Production Date
SKU004,Machine08,265,217,90.38,81.89,96.94,71.74,11-Apr-25,128,86.78651475,High Performer,24,20.82876354,3.171236459,30-Jun-25
SKU004,Machine08,331,299,99.54,90.33,95.52,85.89,11-Apr-25,128,86.78651475,High Performer,24,20.82876354,3.171236459,31-May-25
SKU004,Machine08,344,333,81.58,96.8,99.64,78.69,11-Apr-25,128,86.78651475,High Performer,24,20.82876354,3.171236459,04-Jun-25
SKU004,Machine08,267,228,94.79,85.39,99.39,80.45,11-Apr-25,128,86.78651475,High Performer,24,20.82876354,3.171236459,26-Jun-25
SKU004,Machine08,351,319,72.38,90.88,96.69,63.6,11-Apr-25,128,86.78651475,High Performer,24,20.82876354,3.171236459,20-Apr-25
SKU004,Machine08,433,429,80.62,99.08,99.75,79.68,11-Apr-25,128,86.78651475,High Performer,24,20.82876354,3.171236459,15-May-25
SKU004,Machine08,331,286,71.46,86.4,98.72,60.95,11-Apr-25,128,86.78651475,High Performer,24,20.82876354,3.171236459,23-Apr-25
SKU004,Machine08,387,361,96.75,93.28,98.21,88.64,11-Apr-25,128,86.78651475,High Performer,24,20.82876354,3.171236459,02-Apr-25
SKU004,Machine08,342,305,75.54,89.18,97.43,65.64,11-Apr-25,128,86.78651475,High Performer,24,20.82876354,3.171236459,12-Apr-25
SKU004,Machine08,326,287,86,88.04,96.17,72.81,11-Apr-25,128,86.78651475,High Performer,24,20.82876354,3.171236459,21-Apr-25
SKU004,Machine08,448,420,72.71,93.75,99.67,67.94,11-Apr-25,128,86.78651475,High Performer,24,20.82876354,3.171236459,06-Apr-25
SKU004,Machine08,308,263,77.75,85.39,95.48,63.39,11-Apr-25,128,86.78651475,High Performer,24,20.82876354,3.171236459,13-Jun-25
SKU004,Machine08,293,290,72.67,98.98,98.57,70.9,11-Apr-25,128,86.78651475,High Performer,24,20.82876354,3.171236459,23-Jun-25
SKU004,Machine08,402,388,95.29,96.52,98.88,90.94,11-Apr-25,128,86.78651475,High Performer,24,20.82876354,3.171236459,24-Apr-25
SKU004,Machine08,449,403,81.75,89.76,98.72,72.44,11-Apr-25,128,86.78651475,High Performer,24,20.82876354,3.171236459,14-May-25
SKU004,Machine08,403,394,69.42,97.77,96.32,65.37,11-Apr-25,128,86.78651475,High Performer,24,20.82876354,3.171236459,22-Apr-25
SKU004,Machine08,275,254,67.54,92.36,99.18,61.87,11-Apr-25,128,86.78651475,High Performer,24,20.82876354,3.171236459,07-Apr-25
SKU004,Machine08,382,336,99.79,87.96,99.71,87.52,11-Apr-25,128,86.78651475,High Performer,24,20.82876354,3.171236459,14-Apr-25
SKU004,Machine08,457,423,95.12,92.56,99.26,87.4,11-Apr-25,128,86.78651475,High Performer,24,20.82876354,3.171236459,22-Jun-25
SKU004,Machine08,467,424,98.54,90.79,95.89,85.79,11-Apr-25,128,86.78651475,High Performer,24,20.82876354,3.171236459,16-Jun-25
SKU004,Machine08,379,362,66.96,95.51,99.49,63.63,01-Apr-25,128,85.09180192,High Performer,24,20.42203246,3.577967539,30-Jun-25
SKU004,Machine08,388,362,98.88,93.3,97.95,90.36,01-Apr-25,128,85.09180192,High Performer,24,20.42203246,3.577967539,31-May-25
SKU004,Machine08,484,483,77.88,99.79,99.39,77.24,01-Apr-25,128,85.09180192,High Performer,24,20.42203246,3.577967539,04-Jun-25
SKU004,Machine08,210,182,96.42,86.67,96.11,80.31,01-Apr-25,128,85.09180192,High Performer,24,20.42203246,3.577967539,26-Jun-25
SKU004,Machine08,376,354,85.92,94.15,96.21,77.83,01-Apr-25,128,85.09180192,High Performer,24,20.42203246,3.577967539,20-Apr-25
SKU004,Machine08,313,291,67.92,92.97,97.78,61.74,01-Apr-25,128,85.09180192,High Performer,24,20.42203246,3.577967539,15-May-25
SKU004,Machine08,207,205,72.87,99.03,95.75,69.1,01-Apr-25,128,85.09180192,High Performer,24,20.42203246,3.577967539,23-Apr-25
SKU004,Machine08,365,331,79.5,90.68,95.1,68.56,01-Apr-25,128,85.09180192,High Performer,24,20.42203246,3.577967539,02-Apr-25
SKU004,Machine08,277,276,84,99.64,95.69,80.09,01-Apr-25,128,85.09180192,High Performer,24,20.42203246,3.577967539,12-Apr-25
SKU004,Machine08,434,396,98.25,91.24,97.47,87.38,01-Apr-25,128,85.09180192,High Performer,24,20.42203246,3.577967539,21-Apr-25
SKU004,Machine08,341,306,71.79,89.74,97.28,62.67,01-Apr-25,128,85.09180192,High Performer,24,20.42203246,3.577967539,06-Apr-25
SKU004,Machine08,304,278,76,91.45,98.8,68.67,01-Apr-25,128,85.09180192,High Performer,24,20.42203246,3.577967539,13-Jun-25
SKU004,Machine08,375,343,73.75,91.47,97.71,65.91,01-Apr-25,128,85.09180192,High Performer,24,20.42203246,3.577967539,23-Jun-25
SKU004,Machine08,335,303,92.42,90.45,96.8,80.91,01-Apr-25,128,85.09180192,High Performer,24,20.42203246,3.577967539,24-Apr-25
SKU004,Machine08,419,400,68.54,95.47,96.99,63.47,01-Apr-25,128,85.09180192,High Performer,24,20.42203246,3.577967539,14-May-25
SKU004,Machine08,246,229,67.62,93.09,97.88,61.62,01-Apr-25,128,85.09180192,High Performer,24,20.42203246,3.577967539,22-Apr-25
