Date,Item ID,Opening Stock,Consumption,Incoming,Closing Stock,Units,Item Name,Category,Unit Price,ABC Class,MSL,Inventory Turnover ratio,Ratio
01-02-2025 00:00,ITEM-0001,271,20,5,256,Roll,Product 1,Raw Materials,491.88,A,152,0.075901328,1
02-02-2025 00:00,ITEM-0001,191,47,3,147,Roll,Product 1,Raw Materials,491.88,A,152,0.278106509,1
03-02-2025 00:00,ITEM-0001,215,10,29,234,Roll,Product 1,Raw Materials,491.88,A,152,0.04454343,1
04-02-2025 00:00,ITEM-0001,183,29,23,177,Roll,Product 1,Raw Materials,491.88,A,152,0.161111111,1
05-02-2025 00:00,ITEM-0001,176,8,22,190,Roll,Product 1,Raw Materials,491.88,A,152,0.043715847,1
06-02-2025 00:00,ITEM-0001,252,30,7,229,Roll,Product 1,Raw Materials,491.88,A,152,0.124740125,1
07-02-2025 00:00,ITEM-0001,157,23,5,139,Roll,Product 1,Raw Materials,491.88,A,152,0.155405405,1
08-02-2025 00:00,ITEM-0001,187,19,27,195,Roll,Product 1,Raw Materials,491.88,A,152,0.09947644,1
09-02-2025 00:00,ITEM-0001,196,3,14,207,Roll,Product 1,Raw Materials,491.88,A,152,0.014888337,1
10-02-2025 00:00,ITEM-0001,255,48,29,236,Roll,Product 1,Raw Materials,491.88,A,152,0.195519348,1
11-02-2025 00:00,ITEM-0001,300,1,14,313,Roll,Product 1,Raw Materials,491.88,A,152,0.003262643,1
12-02-2025 00:00,ITEM-0001,257,25,18,250,Roll,Product 1,Raw Materials,491.88,A,152,0.098619329,1
13-02-2025 00:00,ITEM-0001,294,43,4,255,Roll,Product 1,Raw Materials,491.88,A,152,0.156648452,1
14-02-2025 00:00,ITEM-0001,191,25,21,187,Roll,Product 1,Raw Materials,491.88,A,152,0.132275132,1
15-02-2025 00:00,ITEM-0001,189,18,19,190,Roll,Product 1,Raw Materials,491.88,A,152,0.094986807,1
16-02-2025 00:00,ITEM-0001,141,48,11,104,Roll,Product 1,Raw Materials,491.88,A,152,0.391836735,1
17-02-2025 00:00,ITEM-0001,168,0,25,193,Roll,Product 1,Raw Materials,491.88,A,152,0,1
18-02-2025 00:00,ITEM-0001,263,37,4,230,Roll,Product 1,Raw Materials,491.88,A,152,0.15010142,1
19-02-2025 00:00,ITEM-0001,247,10,3,240,Roll,Product 1,Raw Materials,491.88,A,152,0.041067762,1
20-02-2025 00:00,ITEM-0001,198,42,2,158,Roll,Product 1,Raw Materials,491.88,A,152,0.235955056,1
21-02-2025 00:00,ITEM-0001,282,5,17,294,Roll,Product 1,Raw Materials,491.88,A,152,0.017361111,1
22-02-2025 00:00,ITEM-0001,131,4,22,149,Roll,Product 1,Raw Materials,491.88,A,152,0.028571429,1
23-02-2025 00:00,ITEM-0001,259,43,1,217,Roll,Product 1,Raw Materials,491.88,A,152,0.180672269,1
24-02-2025 00:00,ITEM-0001,134,39,1,96,Roll,Product 1,Raw Materials,491.88,A,152,0.339130435,1
25-02-2025 00:00,ITEM-0001,205,0,4,209,Roll,Product 1,Raw Materials,491.88,A,152,0,1
26-02-2025 00:00,ITEM-0001,194,16,8,186,Roll,Product 1,Raw Materials,491.88,A,152,0.084210526,1
27-02-2025 00:00,ITEM-0001,264,23,5,246,Roll,Product 1,Raw Materials,491.88,A,152,0.090196078,1
28-02-2025 00:00,ITEM-0001,284,29,16,271,Roll,Product 1,Raw Materials,491.88,A,152,0.104504505,1
01-03-2025 00:00,ITEM-0001,190,43,17,164,Roll,Product 1,Raw Materials,491.88,A,152,0.242937853,1
02-03-2025 00:00,ITEM-0001,199,10,8,197,Roll,Product 1,Raw Materials,491.88,A,152,0.050505051,1
03-03-2025 00:00,ITEM-0001,283,11,2,274,Roll,Product 1,Raw Materials,491.88,A,152,0.039497307,1
04-03-2025 00:00,ITEM-0001,156,0,7,163,Roll,Product 1,Raw Materials,491.88,A,152,0,1
05-03-2025 00:00,ITEM-0001,185,21,27,191,Roll,Product 1,Raw Materials,491.88,A,152,0.111702128,1
06-03-2025 00:00,ITEM-0001,185,28,7,164,Roll,Product 1,Raw Materials,491.88,A,152,0.160458453,1
07-03-2025 00:00,ITEM-0001,132,40,4,96,Roll,Product 1,Raw Materials,491.88,A,152,0.350877193,1
08-03-2025 00:00,ITEM-0001,135,29,2,108,Roll,Product 1,Raw Materials,491.88,A,152,0.238683128,1
09-03-2025 00:00,ITEM-0001,286,4,18,300,Roll,Product 1,Raw Materials,491.88,A,152,0.013651877,1
10-03-2025 00:00,ITEM-0001,244,13,25,256,Roll,Product 1,Raw Materials,491.88,A,152,0.052,1
11-03-2025 00:00,ITEM-0001,183,3,24,204,Roll,Product 1,Raw Materials,491.88,A,152,0.015503876,1
12-03-2025 00:00,ITEM-0001,163,24,17,156,Roll,Product 1,Raw Materials,491.88,A,152,0.150470219,1
13-03-2025 00:00,ITEM-0001,161,7,6,160,Roll,Product 1,Raw Materials,491.88,A,152,0.043613707,1
14-03-2025 00:00,ITEM-0001,225,13,18,230,Roll,Product 1,Raw Materials,491.88,A,152,0.057142857,1
15-03-2025 00:00,ITEM-0001,246,37,0,209,Roll,Product 1,Raw Materials,491.88,A,152,0.162637363,1
16-03-2025 00:00,ITEM-0001,144,14,0,130,Roll,Product 1,Raw Materials,491.88,A,152,0.102189781,1
17-03-2025 00:00,ITEM-0001,274,16,0,258,Roll,Product 1,Raw Materials,491.88,A,152,0.060150376,1
18-03-2025 00:00,ITEM-0001,174,39,7,142,Roll,Product 1,Raw Materials,491.88,A,152,0.246835443,1
19-03-2025 00:00,ITEM-0001,300,38,18,280,Roll,Product 1,Raw Materials,491.88,A,152,0.131034483,1
20-03-2025 00:00,ITEM-0001,255,2,6,259,Roll,Product 1,Raw Materials,491.88,A,152,0.007782101,1
21-03-2025 00:00,ITEM-0001,300,7,9,302,Roll,Product 1,Raw Materials,491.88,A,152,0.023255814,1
22-03-2025 00:00,ITEM-0001,136,46,28,118,Roll,Product 1,Raw Materials,491.88,A,152,0.362204724,1
23-03-2025 00:00,ITEM-0001,154,29,6,131,Roll,Product 1,Raw Materials,491.88,A,152,0.203508772,1
24-03-2025 00:00,ITEM-0001,276,35,28,269,Roll,Product 1,Raw Materials,491.88,A,152,0.128440367,1
25-03-2025 00:00,ITEM-0001,159,32,28,155,Roll,Product 1,Raw Materials,491.88,A,152,0.203821656,1
26-03-2025 00:00,ITEM-0001,276,32,29,273,Roll,Product 1,Raw Materials,491.88,A,152,0.116575592,1
27-03-2025 00:00,ITEM-0001,207,1,9,215,Roll,Product 1,Raw Materials,491.88,A,152,0.004739336,1
28-03-2025 00:00,ITEM-0001,126,9,0,117,Roll,Product 1,Raw Materials,491.88,A,152,0.074074074,1
29-03-2025 00:00,ITEM-0001,239,37,12,214,Roll,Product 1,Raw Materials,491.88,A,152,0.163355408,1
30-03-2025 00:00,ITEM-0001,280,46,3,237,Roll,Product 1,Raw Materials,491.88,A,152,0.17794971,1
